CAIRNMUIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT131548,Long,-3.3870171,Lat,55.778684,Elevation,1150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,5.14,3.49,2.23,3.46,6.8,6.47,4.55,5.56,2.33,6,5.2,2.5,,,,4.1,4.5,,,,,
February,,,,,,,,,3.38,4.17,2.53,4.48,3.57,0.84,1.37,2.35,4,4.5,2.65,2.4,,,,1.9,3.7,,,,,
March,,,,,,,,,3.2,2.28,0.84,3.04,6.36,3.28,3.37,0.9,5,3.3,3,4.7,,,,2.92,1.42,,,,,
April,,,,,,,,,5.9,2.23,1.88,4.83,4.64,0.35,2.75,1,4,3.5,2.35,4,5.22,,,3,1.62,,,,,
May,,,,,,,,,2.56,3.16,2.18,1.78,5.45,4.2,2.28,2.3,1.5,5,3.3,3,2,,,1.4,2.98,,,,,
June,,,,,,,,,0.96,3.14,3.01,2.78,5.03,2.02,1.35,3,2.5,3,2.3,5,2.3,,,2.75,1.4,,,,,
July,,,,,,,,,0.41,1.48,2.46,4.4,4,4.89,3,3.58,3.3,6,0.45,8.5,3.7,,,4.3,5.15,,,,,
August,,,,,,,,,5.42,0.42,1.55,4.17,5.7,6.06,5.85,3.25,4.3,7.45,5.55,4.5,0.7,,,4.21,1.2,,,,,
September,,,,,,,,,4.12,5.06,3.56,3.74,7.6,5.6,4.73,5.2,4.2,2.45,4.6,4.61,5.72,,,4.1,1.75,,,,,
October,,,,,,,,,3.15,1.86,4.97,3.79,5.92,7.3,4.89,4,4,4.3,5.4,2.3,5.2,,,4.2,4,,,,,
November,,,,,,,,,2.72,3.08,2.05,6.44,9.24,5.84,5.5,4.7,3.5,4.5,4.6,4.5,7,,,4.4,2.6,,,,,
December,,,,,,,,,4.86,3.21,2.91,4.33,5.45,4.4,2.98,3.6,6,3.8,1.3,3,4.9,,,4.21,5.01,,,,,
Total,,,,,,,,,41.82,33.58,30.17,47.24,69.76,51.25,42.62,39.44,44.63,53.8,40.7,49.01,,,,41.49,35.33,,,,,
