LAKE-VYRNWY-EUNANT-BRIDGE-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH962224,Long,-3.5406628,Lat,52.789155,Elevation,830,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4266/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.01,9.6,11.05,14.85,12.4,3.48,3.9,9.5,13.9,11.4,,12.83,7.8,22.65,6,4.45,7.95,11.15,2.68,6.7,5.95,9.05,13.2,8.05,9.27,11.87
February,,,,,13.52,2.78,12.1,3.5,8.9,6.52,6.75,2,6.5,3.65,12.26,14.75,2.3,7.55,5,14.2,9.95,2.45,3.7,7.3,3.52,0.82,7.8,11.55,1.2,9.71
March,,,,,2.82,5.42,4.05,2.92,5.15,6.5,5,4.3,2.25,0.9,3.14,3.3,15.13,5.82,2.75,5.5,8.5,4.95,5.1,7.48,3.9,3.75,8.42,1.98,5.04,2.74
April,,,,,7.53,2.9,4.2,0.27,3.5,5.5,2.8,6,3,2.35,4.78,1.42,6.95,4.2,9.3,6.55,6.55,3.72,5.17,2.07,4.18,2.15,0.65,2.2,7.1,5.24
May,,,,,1.32,2.05,2.25,4.87,1.43,2.5,4.4,6.75,7.55,4.5,5.4,2.5,4.55,3.5,6.8,2,3.5,3.75,3.55,5.85,9.2,2.2,3.1,8.72,1.8,2.33
June,,,,,4.94,6.95,3.65,6.9,4.88,0.75,0.6,0.2,7.5,5.4,7.35,7.04,3.9,8.85,1.95,3.15,2,4,3.3,5.55,7.15,3.18,2.03,4.7,4.1,3.48
July,,,,1.34,2.4,9.4,3.15,6.55,12.25,4.5,2.7,6.25,6.6,4.28,3.3,2.65,3.98,3.63,2.25,8.75,3.8,2.45,9.45,6.45,1.68,7.2,10.48,6.1,6.83,8.05
August,,,,6.26,2.44,2.5,1.7,6.2,4,1.3,6.75,7,9,3.25,5,9.75,0.65,9.04,4.3,10.95,7.85,5.55,5.95,6.45,2,9.4,8.97,5.7,0.97,6.6
September,,,,4.97,12.87,7.4,2.5,2.25,1,5.5,1.7,5.1,7.7,7.7,5.2,10.7,4.13,6.6,2.2,15.6,7.45,4.52,7.65,10.98,2.85,6.22,10.52,12.1,0.64,6.45
October,,,,8.43,13.3,6.87,3.8,15.9,4,9.75,8.5,7,7.15,10.7,9.7,2.43,1.7,4.55,12.75,5.45,2.9,12,3.3,18.35,4.53,5.2,8.7,5.55,9.52,7.78
November,,,,2.87,8.87,9.1,2.45,12.32,17.5,15.5,5.4,1.14,5,13.5,0.49,14.1,11.75,5.7,11.75,7.85,12.3,5.3,10.17,14.3,4.42,4.1,3.95,3.05,8.02,17.12
December,,,,13.85,4.87,11.5,6.6,7.2,5.5,6.5,6.5,8,4.4,9.15,9.15,9.75,8.35,10.5,14.25,5.27,15.6,7.48,2.55,9.08,10.08,10.05,7.3,6.55,18.04,11.74
Total,,,,,77.89,76.47,57.5,83.73,80.51,68.3,55,63.24,80.55,76.78,,91.22,71.19,92.59,79.3,89.72,88.35,67.32,62.57,100.56,59.46,63.32,85.12,76.25,72.53,93.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and assumes New and Old gauges were located in the same place; there is nothing to suggest otherwise. Stated altitude seems about 10 to 20 ft low. 1888 record is for Eunant as opposed to Eunant Bridge and has a lower altitude of 785 ft and is probably about 200 yards in the submerged village of Eunant; the lake was filled in 1888/1889.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 readings estimsted for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old and New gauge overlap for 50 months and 2 readings are duplicated; probably coincidental.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
