SKERRIES,,,,,,,,,,,,
Grid ref,HU682719,Long,-0.763170,Lat,60.425188,,,,,,,
Station no,5831/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.40,3.38,1.52,1.92,,
February,,,,,,,4.06,4.50,1.46,1.75,,
March,,,,,,,3.77,0.96,1.35,0.73,,
April,,,,,,,1.25,1.47,1.95,1.32,,
May,,,,,,,1.62,2.87,0.46,0.99,,
June,,,,,,1.35,2.96,0.31,1.98,1.61,,
July,,,,,,3.02,3.75,2.57,1.78,1.10,,
August,,,,,,1.95,2.44,2.59,1.25,1.00,,
September,,,,,,2.32,3.86,3.58,0.05,2.66,,
October,,,,,,4.08,4.85,4.09,1.19,3.05,,
November,,,,,,3.05,3.04,2.00,5.00,6.56,,
December,,,,,,3.99,,3.74,5.83,5.09,,
Total,,,,,,,,32.06,23.82,27.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,19.76,36.00,32.06,23.82,27.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
