BARTON HALL [PENRITH],,,,,,,,,,,,,,,,,,,,
Grid ref,NY478250,Long,-2.8098543,Lat,54.617437,Elevation,580,ft,,,,,,,,,,,,
Station no,RR7679,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,3.41,2.5,2.28,8.03,3.07,,,,,,,,
February,,,,,,,,3.34,0.93,2,0.62,0.3,,,,,,,,
March,,,,,,,,1.92,3.22,2.11,3.06,1.9,,,,,,,,
April,,,,,,,,2.08,2.18,2.65,1,2.49,,,,,,,,
May,,,,,,,,1.69,2.76,3.1,2.92,1.49,,,,,,,,
June,,,,,,,,0.1,1.3,1.27,3.24,2.07,,,,,,,,
July,,,,,,,,2.32,6.62,2.75,2.28,4.68,,,,,,,,
August,,,,,,,,2.26,3.54,3.68,4.52,7.8,,,,,,,,
September,,,,,,,,4.38,1.19,1.63,3.4,6.32,,,,,,,,
October,,,,,,,,2.6,4.52,6.01,2.62,7.31,,,,,,,,
November,,,,,,,,3.38,6.7,1.87,6.46,5.23,,,,,,,,
December,,,,,,,7.05,4.76,5.14,3.28,0.31,9.56,,,,,,,,
Total,,,,,,,,32.24,40.6,32.63,38.46,52.22,,,,,,,,
