ALTHAM COKE WORKS,,,,,,,,,,
Grid ref,SD755312,Long,-2.373245,Lat,53.776552,Elevation,440,ft,,
Station no,2962/4/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.89,2.75,4.51
February,,,,,,,,7.11,0.54,3.53
March,,,,,,,,1.83,1.9,0.88
April,,,,,,,0.56,1.44,3.19,2.92
May,,,,,,,1.85,5.82,1.83,1.63
June,,,,,,,1.99,4.96,3.51,1.26
July,,,,,,,5.45,4.06,3.61,8.94
August,,,,,,,6.11,4.12,0.65,5.87
September,,,,,,,7.1,5.01,0.44,3.22
October,,,,,,,7.23,4.4,5.5,4.07
November,,,,,,,2.1,1.74,5.38,8.02
December,,,,,,,5.9,4.23,8.51,5.52
Total,,,,,,,,49.61,37.81,50.37
,,,,,,,,,,
12417,ALTHAM S WKS ,01/01/1923,31/12/1973,,,,,,,
