MELROSE ABBEY GATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT548341,Long,-2.7188581,Lat,55.598411,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,4.17,4.81,1.76,3.76,0.86,6.99,3.16,1.5,1,1.93,2.57,3.37,5.52,2.54,4.33,1.86,1.74,0.66,3.96,1.99,1.74,1.36,3.44,3.47,,,,
February,,,4.19,1.73,1.94,1.49,4.6,2.89,1.5,2.76,3.52,3.13,2.21,2.97,3.87,3.54,1.29,0.99,2.23,2.2,0.88,0.13,2.34,3.47,6.72,0.71,,,,
March,,,4.26,1.85,1.33,1.33,3.81,2.82,1,2.4,2.63,3.18,2.74,2.68,2.46,1.35,4.55,1.84,3.62,2.5,1.97,3.83,1.72,1.15,1.75,3.71,,,,
April,,,3.4,0.76,1.81,0.72,3.42,3.75,2.09,2.99,2.59,1.12,3.82,1.45,1.55,2.82,1.62,1.33,2.2,3.32,0.98,0.61,1.65,0.76,1.05,1.01,,,,
May,,,3.76,2.14,1.62,1.55,0.96,2.12,4.66,1.75,0.77,3.36,2.53,1.26,2,3.72,4.76,1.52,1.23,2.08,1.62,1.91,3.39,2.32,4.63,1.05,,,,
June,,4.81,3.7,0.95,1.26,3.25,3.16,2.59,2.25,4.89,1.4,3.29,4.92,3.95,0.88,0.74,1.22,0.83,2.71,0.98,2.64,0.9,3.98,2.24,3.38,1.95,,,,
July,,3.94,5.15,3.99,2.7,3.15,2.2,4.74,1.03,4.32,3.9,2.37,3.78,3.68,6.58,1.36,3.18,2.83,4.54,4.86,2.82,3.28,2.06,2.48,2.25,5.83,,,,
August,,2.38,9.2,4.31,5.24,2.19,4.02,6.76,4.63,3.63,0.95,6.3,2.67,2.53,2.52,2.26,1.42,2.32,2.83,4.8,4.95,5.63,4.11,2.76,5.5,4.09,,,,
September,,2.84,5.64,2.6,2.37,3.3,3.53,2.41,3.31,1.37,3.99,3.94,2.24,4.64,3.06,3.71,2.84,5.03,0.94,1.17,1.44,4.55,1.56,1.13,0.83,,,,,
October,,2.97,5.56,4.05,4.17,3.26,2.75,3.7,1.86,1.89,2.96,3.66,2.97,3.72,1.59,3.42,5.04,1.41,1.28,4.79,1.88,2.79,4.52,1.73,3.64,,,,,
November,,2.59,5.45,2.41,4.3,4.35,3.62,3.56,4.87,2.46,4.81,4.44,3.77,2.99,2.72,1.27,4.44,3.64,6.1,0.82,4.47,2.66,1.53,2.76,2.6,,,,,
December,,3.3,4.43,1.56,3.69,2.07,8.83,1.77,3.03,2.35,3.34,3.01,6.25,1.3,2.92,1.45,3.48,2.16,2.31,2.17,1.36,6.07,1.52,3.51,2.65,,,,,
Total,,,58.91,31.16,32.19,30.42,41.76,44.1,33.39,32.31,31.86,39.73,40.47,34.54,35.67,28.18,38.17,25.76,31.73,30.35,28.97,34.35,30.12,25.67,38.44,,,,,
