"STURMINSTER NEWTON RIVERSIDE",,,,,,,,,,,,
Grid ref,ST783140,Long,-2.310116,Lat,50.925042,,,,,,,
Station no,RR1634,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.04,2.69,1.06,2.82,4.40,1.08,6.66,0.76,1.15,1.12,,
February,6.30,1.47,1.55,1.58,5.07,0.75,2.64,1.57,1.00,0.67,,
March,1.03,2.53,1.85,4.25,1.60,4.36,1.01,0.67,3.65,4.27,,
April,0.48,2.37,2.43,3.41,1.26,2.18,0.99,4.71,1.95,1.87,,
May,2.35,1.51,2.89,3.64,2.80,0.47,3.02,1.56,1.94,1.29,,
June,2.12,1.30,3.72,2.09,0.77,4.32,1.57,2.14,0.18,2.80,,
July,0.77,1.49,1.66,2.32,2.25,0.23,1.37,1.15,1.68,3.25,,
August,2.69,1.88,2.74,4.48,3.00,3.93,1.16,1.84,3.87,2.47,,
September,0.90,2.98,1.13,2.75,2.66,1.50,0.83,0.77,2.62,2.51,,
October,2.23,3.02,2.27,6.80,2.49,1.98,5.17,8.72,1.85,7.17,,
November,3.02,0.70,4.25,1.70,1.62,4.10,3.11,3.46,1.18,0.55,,
December,5.87,5.67,1.21,3.58,3.49,0.72,1.96,4.10,3.24,4.45,,
Total,31.80,27.61,26.76,39.42,31.41,25.62,29.49,31.45,24.31,32.42,,
Calc annual,31.80,27.61,26.76,39.42,31.41,25.62,29.49,31.45,24.31,32.42,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
