GLENLEVEN (LOCH EILDE BEG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN249652,Long,-4.864893,Lat,56.745452,Elevation,1125,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,6.5,5.4,16,28.18,9.15,23.22,9.28,11.77,13.04,16.55,18.98,3.28,16.05,12.4,20.94,9.78,16.42,10.67,4.25,,,,
February,,,,,,,,,14.02,0.34,16.5,9.6,11.37,9.03,7.29,8.26,7.48,5.92,11.82,3.23,1.79,6.48,0.61,8.24,6.79,15.44,3.32,,,,
March,,,,,,,,,2.72,3.2,8.8,15.4,4.32,4.18,0.74,6.15,12.55,5.54,7.45,2.84,4.98,1.37,4.64,5.24,5.32,8.48,4.06,,,,
April,,,,,,,,,1.36,7.2,4.25,3.4,3.65,4.47,5.09,9.93,5.5,12.27,4.78,4.27,3.29,5.09,8.4,8.42,5.4,4.75,2.67,,,,
May,,,,,,,,,2.44,1.6,10.2,8.66,14.6,6.53,4.93,10.22,4.74,3.67,1.57,4.76,6.06,5.37,3.85,3.09,7.76,2,2.4,,,,
June,,,,,,,,,5.24,7.35,2.6,2,6.3,5.64,6.54,2.9,4.9,8.27,8.12,4.55,5.94,8.9,2.08,3.75,1.85,7.37,3.13,,,,
July,,,,,,,,,5.3,1.5,5.5,7.29,7.68,11.45,9.44,4.11,5.24,4.26,9.87,6.77,3.5,7.89,9.93,5.75,4.88,5.49,8.8,,,,
August,,,,,,,,,7.05,5.55,7.4,7.42,6.22,10.08,6.38,4.75,8.21,6.98,9.59,11.09,10.38,3.47,7.45,7.46,9.48,8.02,6.75,,,,
September,,,,,,,,,10.66,9.8,6.4,8.96,6.82,14.13,12.93,6.52,9.83,10.47,7.85,6.64,7.44,2.87,10.82,2.11,12.35,16.78,,,,,
October,,,,,,,,,14,3.2,4.3,12.57,4.63,20.24,7.72,8.82,8.73,12.47,12.7,15.26,14.22,8.08,12.36,7.31,20.97,21.72,,,,,
November,,,,,,,,,6.31,6.5,9.9,4.91,8.08,10.86,7.46,2.29,10.69,8.92,12.03,15.14,13.27,11.94,13.04,3.66,2.52,7.52,,,,,
December,,,,,,,,,7.74,8.75,5.35,30.01,15.91,10.42,18.36,10.58,11.55,1.02,8.4,18.12,9.43,12.98,12.71,1.78,11.92,4.94,,,,,
Total,,,,,,,,,83.34,60.39,97.2,138.4,98.73,130.25,96.16,86.3,102.46,96.34,113.16,95.95,96.35,86.84,106.83,66.59,105.66,113.18,,,,,
