ENFIELD-OLD-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ322956,Long,-0.090809953,Lat,51.643668,Elevation,156,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.31,2.43,2.61,1.69,4.23,1.6,0.99,0.96,2.54,2.38,0.77,1.7,3.04,1.71,0.77,1.9,0.7,2.26,2.81,0.62,0.86,1.9,2.55,1.2,3.82,0.85,1.52,
February,,,1.29,3.71,1.82,2.89,0.62,0.6,1.14,2.15,1.09,0,1.49,3.1,1.94,0.15,0.43,2.56,1.05,1.75,3.94,1.15,1.34,0.75,2.93,0.85,2.05,1.07,1.64,
March,,,1.46,1.01,1.69,1.62,1.69,1.68,3.85,1.76,2.16,1.98,1.34,0.5,1.15,1.74,3.12,3.75,1.19,0.56,0.69,2.19,1.65,2.11,1.53,3.18,1.1,0.88,2.39,
April,,,3.44,1.9,1.23,2.62,1.59,1.17,2.53,2.06,1.8,0.88,1.08,0.2,1.86,1.22,0.84,1.52,1.21,2.48,1.04,2.02,0.58,1.66,0.81,1.92,0.48,2.77,2.41,
May,,,1.63,1.83,0.78,2.78,4.89,2.05,1.25,4.85,1.5,3.82,1.44,0.88,1.89,0.37,0.26,1.68,2.36,1.36,1.14,1.16,2.31,2.12,2.02,1.34,1.37,2.04,1.39,
June,,,2.74,2.68,2.37,1.98,0.7,0.72,2.6,4.67,2.61,2.41,3,0.79,1.97,0.57,1.93,2.46,1.39,2.52,2.9,0.7,3.41,5.99,0.96,3.12,3.23,2.2,0.99,
July,,,1.96,3.07,2.62,0.62,2.6,0.75,4.1,2.29,4.92,3.23,1.86,1.91,3.13,4.11,1.17,2.4,0.44,1.88,1.15,2.37,1.17,4.98,2.09,2.39,0.51,2.3,3.74,
August,,,1.62,1.31,0.98,1.64,1,2.44,4.14,2.79,4.27,4.73,3.54,1.74,3.39,2.82,2.32,3.08,1.26,0.51,2.02,1.68,4.88,4.29,2.28,2.36,0.71,1.95,2.89,
September,,,2.58,3.49,1.62,4.19,1.55,2.59,0.86,2.6,0.64,1.13,2.91,0.99,1.2,0.95,6.12,3.27,0.31,2.71,0.96,1.44,1.1,2.74,1.28,1.94,1.41,0.7,1.47,
October,,,5.56,1.87,1.09,3.94,3.1,1.5,1.39,3.84,1.38,5.14,3.92,3.33,3.69,2.89,3.57,0.52,3.29,2.1,1.99,2.16,1.26,5.9,1.47,1.51,3.46,2.84,1.85,
November,,,2.88,3.34,2.26,3.34,3.26,3.36,4.74,1.04,2.4,2.06,2.66,2.52,3,3.34,1.15,0.96,1.57,4.35,2.12,0.59,1.71,1.87,1.65,3.06,5.18,2.08,0.48,
December,,,3.2,1.18,3.27,1.15,4.43,1.56,1.09,1.27,0.84,3.93,1.43,2.49,2.24,1.75,3.49,2.45,2.2,1.36,2.85,3.17,1.27,1.47,1.62,0.79,2.45,4,2.02,
Total,,,29.67,27.82,22.34,28.46,29.66,20.02,28.68,30.28,26.15,31.69,25.44,20.15,28.5,21.62,25.17,26.55,16.97,23.84,23.61,19.25,21.54,35.78,21.19,23.66,25.77,23.68,22.79,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Old Park. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
