MORVERN (DRUMBUIE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM601580,Long,-5.915373,Lat,56.652107,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5391/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.22,10.64,3.89,1.35,0.61,7.18,10.4,7.99,6.23,11.01,9.52,,,,10.23,,,,,,,,,
February,,,,,,,4.69,5.79,8.62,3.79,7.35,4.3,6.49,2.7,9.28,4.75,0,,,,,,,,,,,,,
March,,,,,,,1.3,8.2,4.75,5.96,2.47,4.07,3.94,2.71,5.63,4.43,3.25,,,,,,,,,,,,,
April,,,,,,,3.31,0.98,2.79,3.17,4.23,2.43,6.7,3.78,2.68,3.34,8.59,,,,,,,,,,,,,
May,,,,,,,3.42,4.13,2.82,2.81,1,4.02,3.71,6.01,4.03,1,3.54,,,,,,,,,,,,,
June,,,,,,,3.81,7.74,3.52,1.74,1.61,3.8,6.41,4.25,6.93,5.18,,,,,,,,,,,,,,
July,,,,,,,5.37,6.09,7.44,5.11,4.87,6.3,5.09,2.64,5.35,7.08,,,,,,,,,,,,,,
August,,,,,,,4.82,5.05,2.93,6.23,8.69,8.99,7.78,3.69,3.12,6.78,,,,,,,,,,,,,,
September,,,,,,,7,6.58,3.14,7.24,4.13,11.62,6.91,5.41,8.17,7.18,,,,,,,,,,,,,,
October,,,,,,,4.2,11.68,3.15,8.43,5.89,9.12,17.72,8.27,6.22,0.52,,,,,,,,,,,,,,
November,,,,,,,1.79,12.35,10.71,10.87,7.82,4.2,6.39,7.9,1.08,6.6,,,,,,,,,,,,,,
December,,,,,,10.41,3.5,8.84,5.97,9.76,5.52,13.53,6.37,8.44,7.83,9.65,,,,,,,,,,,,,,
Total,,,,,,,54.43,88.07,59.73,66.46,54.19,79.56,87.91,63.79,66.55,67.52,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1946 P May Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OS Spelling Druimbuidhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5391/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,700365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
