SOUTHAMPTON-WESTEND-CLIFTONVILLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU465141,Long,-1.33897,Lat,50.9252,Elevation,244,ft,,,,,,,,,,,,
Station no,RR7650,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.2,1.78,3.59,3.22,2.24,3.72,3.76,1.22,0.74,4.52,,,,,,,,,
February,,3.5,1.3,4.72,2.86,4.01,0.62,1.08,1.21,2.05,0.63,,,,,,,,,
March,,2.76,1.4,0.97,2.75,2.21,2.61,1.9,3.46,2.9,1.25,,,,,,,,,
April,,0.63,4.02,1.19,1.75,1.4,2.34,1.52,2.46,2.67,2.91,,,,,,,,,
May,,1.09,1.94,2.33,1.16,3.59,3.41,1.05,2.52,3.04,1.79,,,,,,,,,
June,,2.01,3.17,2.2,2.6,1.52,1.46,1.11,2.53,0.34,3,,,,,,,,,
July,,1.46,3.01,2.82,2.48,0.3,2.41,0.76,6.68,3.47,4.86,,,,,,,,,
August,,4.66,1.57,1.17,1.1,0.61,1.45,2.86,4.32,3.06,3.31,,,,,,,,,
September,,2.41,3.14,5.16,2.5,5.32,2.43,3.4,1.11,0.95,1.39,,,,,,,,,
October,,1.65,7,2.85,0.77,5.33,4.61,1.39,1.83,5.83,0.94,,,,,,,,,
November,,5.01,4.28,4.32,1.15,3.47,3.98,4.77,5.93,1.8,2.41,,,,,,,,,
December,,3.4,2.92,0.92,4.17,1.75,7.23,2.3,2.42,2.08,1.34,,,,,,,,,
Total,,29.78,35.53,32.24,26.51,31.75,36.27,25.9,35.69,28.93,28.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cliftonville Church Hill West End,,,,,,,,,,,,,,,,,,,,
On early 1900 maps shown as Kirkstyle,,,,,,,,,,,,,,,,,,,,
1890 Total in brackets but no reason why Total printed in BR,,,,,,,,,,,,,,,,,,,,
