YSTALYFERA MIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN766090,Long,-3.7883,Lat,51.7663,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,8.01,8.47,10.73,6.81,7.07,4.77,2.91,2.62,11,5.61,6.71,2.48,7.81,6.49,2.85,2.6,5.28,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,5.44,9.4,6.36,9.49,1.87,2.57,1.12,3.78,1.6,0,3.34,9.4,5.83,0.13,1.64,7.06,3.93,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,5.99,1.57,6.6,3.05,9.55,3.76,6.3,2.78,3.89,2.54,1.76,1.07,6.46,5.19,8.03,8.88,2.03,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,6.76,1.22,2.99,3.92,5.18,2.48,2.51,2.02,2.21,5.71,1.75,0.26,2.76,3.1,1.62,5.59,3.89,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.76,3.2,3.29,3.76,5.97,3,2.99,3.91,2.9,3.56,2.18,3.16,4.98,0.12,0.07,2.44,4.44,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,5.55,6.26,3.44,5.07,1.5,0.84,5.07,0.47,4.94,2.94,3.26,3.91,2.08,0.71,2.38,4.34,3.84,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,10.52,4.15,5.83,3.61,7.13,3.95,10.63,4.47,7.19,4.23,2.51,3.74,5.08,8.14,3.79,2.7,1.23,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,7.33,3.2,3.81,4.03,5.28,4.22,6.13,6.4,4.65,9.74,6.57,4.87,5.7,7.97,3.65,9.44,7.78,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.34,6.91,5.88,12.21,7.54,6.8,2.61,2.02,2.35,6.8,4.61,4.71,1.51,2.16,11.86,8.33,2.8,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,8.14,8.12,3.39,5.69,12.43,3.31,3.69,6.31,5.12,13.92,5.6,8,8.64,4.29,7.35,3.84,8.66,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
