BELFAST BARRACKS - No 1 gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ337753,Long,-5.9304,Lat,54.60848,Elevation,35,ft,,,,,,,,,,,,
Station no,RR1957,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,4.51,0.18,3.41,3.33,3.11,3.34,4.78,4.18,2.25,5.34,,,,
February,,,,,,,3.56,0.21,3.24,4.96,2.81,3.71,3.96,1.08,2.24,1.2,,,,
March,,,,,,,3.86,2.22,4.55,2.35,1.43,1.42,2.29,2.38,1.76,1.59,,,,
April,,,,,,,,4.09,3.06,2.05,1.79,3.68,3.14,0.66,1.45,0.15,,,,
May,,,,,,,2.03,4.03,2.06,2.22,2.72,0.64,2.45,2.76,1.08,2.1,,,,
June,,,,,,,,1.12,0.58,1.16,1.26,1.95,4.09,1.53,1.01,3.04,,,,
July,,,,,,,,3.37,0.73,2.17,1.97,5.94,3.82,4.36,2.33,2.13,,,,
August,,,,,,,,2.42,5.04,1.72,2.33,2.32,3.81,5.36,4.4,,,,,
September,,,,,,,,2.08,2.2,5.17,2.78,2.95,4.94,2.52,2.87,,,,,
October,,,,,,,,5.13,3.17,1.49,10.73,3.69,5.39,4.09,4.85,,,,,
November,,,,,,,1.34,0.91,2.57,5.25,,3.19,4.3,2.69,4.68,,,,,
December,,,,,,,0.44,3.77,4.88,2.63,2.77,3.53,6.13,0.87,3.49,,,,,
Total,,,,,,,,29.53,35.49,34.5,,36.36,49.1,32.48,32.41,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR for Infantry Barracks marked on 6"" 1837-1842 OS",,,,,,,,,,,,,,,,,,,,
