CLEOBURY-MORTIMER-NEEN-SAVAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO675773,Long,-2.4790157,Lat,52.392749,Elevation,367,ft.,,,,,,,,,,,,
Station no,RR2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.8,3.34,3.01,4.59,2.48,0.89,0.69,3.79,2.18,2.54,2.34,2.58,5.15,1.07,2.48,,
February,,,,3.05,2.34,2.96,1.16,0.68,0.67,1.93,0.81,0.05,1.65,3.95,2.9,0.08,0.75,2.49,,
March,,,,1.24,2.81,1.56,3.47,1.49,2.87,2.82,1.74,1.54,0.87,0.87,1.72,2.09,2.58,3.55,,
April,,,,1.15,1.7,2.73,1.73,0.85,1.52,5.54,1.23,2.74,1.24,0.29,2.11,2.08,1.44,1.87,,
May,,,,1.16,0.97,3.27,7.85,2.33,0.8,2.41,1.9,4.31,2.28,2.44,3.06,0.65,0.26,0.95,,
June,,,,3.01,2.69,2.83,1.18,1.34,2.88,0.58,1.44,3,4.08,1.72,1.71,1.13,3.12,2.91,,
July,,,,2.55,2.62,0.41,2.48,1.85,5,2.32,2.33,1.46,2.97,1.88,3.15,2.22,1.15,0.73,,
August,,,,0.7,2.65,3.34,0.91,2.58,4.1,2.56,4.3,4.38,3.44,1.74,2.96,3,1.47,3.4,,
September,,,,4.78,2.93,3.82,2.76,2.07,0.62,1.98,1.11,1.9,2.42,1.54,2.04,0.74,4.18,3.83,,
October,,,,3.23,1.2,4.65,3.96,2.42,0.72,2.96,1.71,7.51,2.31,2.65,3.37,2.83,3.12,,,
November,,,,4.91,1.67,3.29,2.14,2.74,6.25,1.14,2.98,2.76,1.96,1.83,3.7,4.58,1.05,,,
December,,,,1,2.97,1.05,4.69,2.26,3.18,2.08,1.28,3.61,1.82,4.04,2.33,2.46,4.48,,,
Total,,,,30.58,27.89,32.92,36.92,23.09,29.5,27.01,24.62,35.44,27.58,25.29,31.63,27.01,24.67,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Neen Savage Resctory, the observer is a vicar. The gauge may have moved 200 yards in 1887 or thereabouts because relationship to the church changes. The observer, Reverend Frederick Burd, was also observer at Hookfield House Bridgnorth from 1900",,,,,,,,,,,,,,,,,,,,
"Nov 1896 reading duplicates The College reading, which is to be expected; there are 45 overlapping monthly readings. More concerning is that there are significant differences in monthly readings between the two sites, however, not so bad for the annual totals 5% to 10%",,,,,,,,,,,,,,,,,,,,
