CHAGFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SX699875,Long,-3.8425,Lat,50.6731,Elevation,600,ft,,,,,,,,,,,,
Station no,RR2769,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,6.72,7.7,3.75,10.74,10.21,3.64,9.5,11.8,4.41,4.2,9.03,,,,,,,
February,,,1.81,2.05,2.65,5.66,7.93,6.44,4.07,6.6,4.27,3.51,7.04,,,,,,,
March,,,8.14,3.52,4,3.01,7.02,5.9,5.06,3,3.02,3.42,4.46,,,,,,,
April,,,4.87,1.87,1.16,0.62,3.29,4.95,5.41,1.67,0.35,5.1,3.87,,,,,,,
May,,,2.93,2.35,1.21,-999,3.73,4,1.69,6.75,2.1,0.65,2.77,,,,,,,
June,,,5.29,4.58,-999,-999,2.14,-999,0.81,0.41, ,2.05,2.87,,,,,,,
July,,,2.93,0.82,-999,3.41,1.52,-999,0.25,0.44,0.82,4.88,3.52,,,,,,,
August,,,2.74,3.96,1.7,5.98,3.65,2.35,6.25,0.64,2.18,1.54,1.14,,,,,,,
September,,,3.9,5.71,3.93,0.15,9.97,4.21,8.4,5.32,1.97,8.2,4.15,,,,,,,
October,,,10.1,8.62,4.33,7.99,2.41,4.89,5.75,3.96,1.41,5.74,7.64,,,,,,,
November,,,2.11,4.52,5.8,7.22,3.04,1.32,5.01,3.49,3.63,1.25,6.62,,,,,,,
December,,,5.11,4.7,4.22,6.81,6.24,3.3,15.1,5.82,3.02,4.53,8.76,,,,,,,
Total,,,56.65,50.4,35.29,57.41,61.15,45.01,67.3,49.9, ,45.07,61.87,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Bracketed values in June-July 1864, May-June 1865 and June-July 1867",,,,,,,,,,,,,,,,,,,,
Note says 1870 values 'doubted for accuracy' ,,,,,,,,,,,,,,,,,,,,
1870 annual total removed as June probably not 0 - obs got married on June 8th and likely away,,,,,,,,,,,,,,,,,,,,
Exact gauge location unknown – NGR is likely house obs. Lived in on Mill St,,,,,,,,,,,,,,,,,,,,
