GLASTONBURY-HIGH-STREET-(N-SIDE),,,,,,,,,,,,,
Grid ref,ST501390,Long,-2.7145,Lat,51.1483,Elevation,94,ft,,,,,
Station no,RR4768,,,,,,,,,,,,
,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901
January,,2.71,2.03,1.87,2.69,2.17,3.91,0.95,1.69,1.2,4.06,5,2.34
February,,0.67,0.07,1.72,3.38,3.17,0.11,0.62,3.79,1.68,2.92,3.78,0.84
March,,1.55,1.96,0.61,0.4,1.86,2.65,1.44,3.63,0.67,0.39,1.35,
April,,2.56,0.94,1.24,0.2,2.27,2.02,0.15,2.81,1.54,2.94,1.85,
May,3.74,1.43,3.04,1.03,0.86,2.74,0.68,0.12,1.68,3.4,1.46,2.21,
June,0.46,4.32,1.25,2.36,1.24,2.05,0.78,1.83,2.36,2,0.88,2.69,
July,2.84,4.37,3.13,2.09,4.87,4.06,3.1,1.18,1.6,0.41,0.48,1.57,
August,3.3,2.72,5.88,3,1.38,3.11,4.69,2.13,4.24,1.6,1.04,2.77,
September,1.62,1.44,2.42,3.01,2.44,2.39,1.38,5.81,2.99,0.88,3.27,0.5,
October,3.3,1.75,7.1,2.6,3.4,2.67,4.1,1.9,1.74,4.32,2.06,2.9,
November,1.14,2.01,2.78,2.89,1.65,5.47,6.06,0.93,0.92,3.4,3.16,2.84,
December,2.17,1.66,4.33,1.38,2.85,2.86,2.43,4.68,4.82,2.97,2.42,6.13,
Total,,27.19,34.93,23.8,25.36,34.82,31.91,21.74,32.27,24.07,25.08,33.59,
,,,,,,,,,,,,,
1889 Apr 6 Gauge moved 40yds NW from S side of High St to N side (no 41) and lowered from roof to post,,,,,,,,,,,,,
Gauge fixed in open space on post 7ft above ground,,,,,,,,,,,,,
1901 Mar 23 Gauge moved 0.25 miles to Ivydene Wells Road,,,,,,,,,,,,,
