CHORLEY (COWLING SEW. WKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD595166,Long,-2.614103,Lat,53.644331,Elevation,262,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3006/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.58,2.69,1.91,5.26,4.98,5.31,3.66,,4.49,9.14,2.52,,4.09,,1.95,3.63,2.82,,2.61,,,
February,,,,,,,,,3.93,2.36,5.17,1.49,2.55,2.58,4.67,,0.86,2.28,2.25,,3.07,,1.44,3.66,3.15,,3.14,,,
March,,,,,,,,,2.14,2.79,3.2,2.92,1.1,0.61,1.6,,6.06,1.85,2.92,,4.77,,1.87,2.93,1.93,,3.1,,,
April,,,,,,,,,2.44,2.53,1.74,2.09,2.49,2.46,2.38,,1.69,1.88,3.49,,2.67,,3.26,0.95,2.35,,0.78,,,
May,,,,,,,,,1.27,1.31,2.19,3.84,3.18,2.75,3.73,,2.89,1.49,3.6,,2.54,,2.3,3.13,3.28,,2.24,,,
June,,,,,,,,4.86,3.42,0.95,0.46,0.88,3.73,2.87,4.23,,2.34,5.33,0.89,,1.07,,2.7,2.78,3.69,,2.5,,,
July,,,,,,,,4.09,6.52,5.51,1.98,4.47,3.81,3.53,2.77,,3.5,2.9,3.21,,2.94,,4.42,5.81,1.02,,5.52,,,
August,,,,,,,,2.9,2.39,2.55,5.9,4.52,6.31,3.1,2.15,,0.23,5.13,2.64,,4.7,,5.27,6.24,1.17,,6.11,,,
September,,,,,,,,2.71,1.12,4.12,1.2,3.46,5.45,6.9,2.79,,4.24,2.8,2.04,,3.5,,4.58,5.05,4.45,,7.28,,,
October,,,,,,,,8.77,2.59,4.68,5.01,6.34,4.61,5.29,5.49,,0.64,3.07,4.71,,0.98,,2.45,8.41,2.32,,6.27,,,
November,,,,,,,,5.71,6.79,7.31,2.6,1.08,3.88,7.41,0.49,,4.87,2.47,5.71,,9.18,,5.64,7.43,2.41,,2.36,,,
December,,,,,,,,5.59,2.9,4.5,2.43,4.84,2.38,4.08,2.91,,3.06,3.76,5.58,,9.26,,1.86,5.62,4.47,,4.49,,,
Total,,,,,,,,,41.09,41.3,33.79,41.19,44.47,46.89,36.87,,34.87,42.1,39.56,,48.77,,37.74,55.64,33.06,,46.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan 2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
