BARROW-IN-FURNESS (SEWAGE WORKS) (+A) SANDGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD215688,Long,-3.202194,Lat,54.109065,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.77,2.77,2.31,4.61,5.62,4.68,6.12,4.01,3.57,4.47,3.1,3.89,4.34,8.95,2.51,5.57,4.32,5.02,2.44,4.12,1.96,4.64,3.18,4.37,4.21,3.54,2.02,4.72,6.4,4.15,3.77,5.31,3.62,7.97,2.56,2.05,4.6,3.77,1.93,3.19,2.16,4.04,3.61,3.87,3.15,6.38
February,,,,,,5.15,3.46,1.67,3.85,1.46,2.5,0.31,4.28,6.25,0.97,4.55,5.17,2.83,4.15,1.45,0.42,3.75,0.02,3.69,0.17,5.17,1.95,6.2,1.05,3.35,1.61,3.95,2.27,2.22,1.88,4.02,3.38,0.72,2.24,1.88,4.2,3.5,1.16,1.34,3.86,2.08,0.59,3.41,6.81,0.59,3.35
March,,,,,,2.01,1.71,2.77,1.74,4.9,5.74,3.61,2.46,1.44,2.35,1.1,1.44,3.23,3.51,0.91,2.52,0.55,3.73,3.1,2.6,1.38,2.75,2.15,1.65,2.65,4.05,3.27,2.85,1.09,0.55,2.41,1.38,6.38,1.98,2.75,2.47,4.48,2.47,0.41,2.53,1.96,0.84,2.58,1.58,2.14,1.46
April,,,,,,2.49,2.38,1.92,1.59,1.78,5.91,1.21,1.77,3.26,2.51,2.78,1.98,1.85,1.86,1.87,2.02,2.13,2.9,1.9,2.65,3.75,0.66,2.9,0.3,2.17,3.07,1.47,1.88,2.52,3.59,2.03,1.36,3.88,2.12,2.86,2.41,1.2,2.75,2.86,0.84,2.32,1.4,0.47,1.12,3.27,2.43
May,,,,,,1.3,3.9,3.87,2.77,1.74,4.19,1.84,2.21,2.36,4.86,5.36,1.97,2.05,1.07,1.92,1.32,2.85,5,2.86,3.49,1.25,0.95,1.64,3.4,0.55,1.55,3,3.41,3.82,3.01,3.67,1.43,5.44,1.52,2.33,0.88,1.73,2.3,2.58,2.74,2.39,1.55,3.24,4.04,2.56,2.36
June,,,,,,0.95,3,3.05,2.39,1.41,2.83,0.21,2.03,0.7,2.43,0.4,2.5,3.54,4.49,1.87,1.14,7.32,1.09,1.74,2.45,5.03,3.18,2.04,4.42,2.76,0.45,0.48,1.32,2.7,2.29,3.16,2.65,3.19,5.75,0.5,1.43,0.82,2.59,1.4,3.03,3.24,2.18,1.91,4.43,4.48,1.4
July,,,,,,4.55,2.13,1.31,4.42,0.73,5.66,1.63,4.96,4.04,4.02,1.76,3.51,4.34,3.07,3.65,3.13,4.17,5.27,1.9,1.83,1.25,3.33,2.78,5.33,6.1,5.18,1.42,3.64,3.53,3.3,2.76,3.41,2.66,1.74,3.88,3.07,2.62,1.76,3.22,4.27,2.32,5.02,3.08,2.57,2.18,4.72
August,,,,,,3.81,1.86,8.17,4.07,4.11,2.37,6.6,4.01,6.75,3.92,3.44,3.55,6.79,5.86,4.94,7.18,3.66,1.4,3.18,5.34,3,2.52,1.62,2.35,2.26,1.28,3.81,4.97,6.54,3.65,0.97,5.05,0.33,4.28,3.44,5.4,4.53,5.12,4.05,4.88,2.11,8.91,3.62,5.23,0.29,3.8
September,,,,,,0.67,3.27,2.78,9.63,3.27,4.78,2.25,3.76,4.69,4.58,4.06,4.81,7.48,2.3,1.93,2.25,2.36,4.03,0.83,4.22,7.65,5.05,2.86,2.91,2.75,3.58,1.54,2.92,5.56,5.32,3.43,4.68,3.62,6.03,1.09,8.63,3.77,3.6,4.69,6.49,3.37,3.12,7.69,4.91,0.85,4.19
October,,,,,,2,7.31,8.05,3.84,3.09,1.93,2.74,1.33,6.88,4.01,5.7,3.53,3.96,6.89,5.66,6.25,3.29,6.48,3.63,5.62,5.65,2.43,2.67,8.4,1.69,5.2,7.8,4.4,5.38,5.39,4.99,0.41,0.64,2.77,5.56,3.51,0.96,3.46,2.28,7.8,3.2,3.32,6.16,3.75,4.9,3.9
November,,,,,,2.8,4.42,4.34,3.04,2.94,1.84,2.5,2.09,5.07,2.35,2.59,6.71,4.79,8.21,8.71,5.67,7.75,2.31,3.19,1.98,4.42,5.35,2.01,6.53,5.03,5.1,2.58,0.98,4.54,7.35,0.15,7.58,5.07,3.51,4.86,4.56,8.34,2.02,5.99,9.14,1.9,1.55,1.81,1.89,5.57,7.06
December,,,,,,8.07,3.21,2.28,7.4,6.09,3.32,4.85,4.69,5.87,6.06,2.99,1.63,1.28,4.25,6.89,4.67,3.24,3.69,0.96,6.5,4.24,4.76,3.76,5.61,2.1,5.22,2.02,4.73,1.77,3.77,2.82,5.99,2.49,3.34,5.99,2.84,7.51,4.66,2.2,4.03,4.51,4.35,4.83,5.1,7.3,3.92
