ANTRIM ARDNAVEIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ1682887890,Long,-6.187237,Lat,54.725593,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.53,2.7,3.48,2.32,2.15,4.47,3.17,1.71,2.93,1.55,2.81,1.45,2.27,1.26,3.59,3.29,1.78,2.45,1.95,1.92,2.44,3.47,3.66,4.41,3.82,,,,,,,,
February,,,,,,,,,2.22,2.56,2.87,1.62,2.08,2.05,3.16,1.53,2.19,1.73,1.19,2.09,4.01,2.22,2.7,0.97,3.04,3.86,3.04,1.64,3.14,0.67,1.92,0.79,3.29,,,,,,,,
March,,,,,,,,,1.37,1.78,0.84,2.59,1.8,3.73,1.67,3.01,2.12,3.28,3.61,2.83,2.09,1.09,2.41,2.35,3.06,0.64,1.72,3.36,1.28,3.34,2.53,1.98,1.79,,,,,,,,
April,,,,,,,,,2.82,3.49,2.71,2.82,2.31,1.41,1.74,1.96,2.68,2.34,2.93,4.27,1.88,1.81,1.78,2.63,1.06,2.06,3.23,2.59,1.09,1,2.41,0.89,3.62,,,,,,,,
May,,,,,,,,,3.55,3.59,4.17,1.58,3.29,2.26,2.58,1.83,4.33,3.73,1.86,1.43,2.42,1.9,1.57,3.08,1.44,1.1,5.08,3.94,1.95,2.25,2.85,2.15,1.89,,,,,,,,
June,,,,,,,,,3.51,2.26,3.32,3.25,1.98,1.83,1.09,2.45,1.1,5.42,2.83,2.73,3.01,1.44,5.07,3.14,1.47,2.05,1.96,2.48,1.35,1.83,2.5,0.4,1.89,,,,,,,,
July,,,,,,,,,0.54,2.82,2.73,0.7,3.54,4.46,3.86,1.94,2.08,3.08,2.62,3.14,4.36,2.68,4,1.69,1.7,3.34,1.79,2.2,2.72,0.26,3.2,3.45,3.51,,,,,,,,
August,,,,,,,,,3.75,1.45,4.04,3.58,3.25,3.92,6.38,5.5,4.4,3.53,2.71,2.29,4.69,1.48,4.82,0.87,3.4,2.42,2.21,4.07,2.85,3.2,2.58,2.94,3,,,,,,,,
September,,,,,,,,,3.9,3.26,2.19,3.5,4.62,3.69,3.2,1.86,1.35,1.16,3.98,2.1,1.48,1.46,1.16,3.29,1.13,0.73,1.08,1.85,4.45,2.86,2.84,1.08,2.17,,,,,,,,
October,,,,,,,,,3.67,1.87,4.47,3.86,1.38,6.06,1.19,1.58,4.83,3.76,1.95,4.66,2.09,3.3,2.62,3.15,1.31,2.43,5.31,3.88,2.87,2.33,5.45,3.04,1.55,,,,,,,,
November,,,,,,,,,2.78,2.51,6.17,4.56,3.47,2.21,2.43,3.61,2.62,2.78,2.84,1.47,3.84,3.26,2.78,2.87,3.73,2.77,3.23,3.59,4.11,2.85,2.94,3.25,1.6,,,,,,,,
December,,,,,,,,,2.11,5.95,3.37,3.65,3.18,2.59,2.17,2.21,3.48,3.54,2.97,3.65,4.4,4.77,3.6,2.78,7.36,5.28,2.22,2.76,3.34,5.12,3.45,3.13,2.63,,,,,,,,
Total,,,,,,,,,31.75,34.24,40.36,34.03,33.05,38.68,32.64,29.19,34.11,35.9,32.3,32.11,36.54,26.67,36.1,30.11,30.48,29.13,32.82,34.28,31.59,29.18,36.33,27.51,30.76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Jan 2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919 Jan 3.47, Feb .67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
