"ANTRIM ARDNAVEIGH",,,,,,,,,,,,
Grid ref,IJ1682887890,Long,-6.187237,Lat,54.725593,,,,,,,
Station no,RR1828,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.48,2.32,2.15,4.47,3.17,1.71,2.93,1.55,2.81,1.45,,
February,2.87,1.62,2.08,2.05,3.16,1.53,2.19,1.73,1.19,2.09,,
March,0.84,2.59,1.80,3.73,1.67,3.01,2.12,3.28,3.61,2.83,,
April,2.71,2.82,2.31,1.41,1.74,1.96,2.68,2.34,2.93,4.27,,
May,4.17,1.58,3.29,2.26,2.58,1.83,4.33,3.73,1.86,1.43,,
June,3.32,3.25,1.98,1.83,1.09,2.45,1.10,5.42,2.83,2.73,,
July,2.73,0.70,3.54,4.46,3.86,1.94,2.08,3.08,2.62,3.14,,
August,4.04,3.58,3.25,3.92,6.38,5.50,4.40,3.53,2.71,2.29,,
September,2.19,3.50,4.62,3.69,3.20,1.86,1.35,1.16,3.98,2.10,,
October,4.47,3.86,1.38,6.06,1.19,1.58,4.83,3.76,1.95,4.66,,
November,6.17,4.56,3.47,2.21,2.43,3.61,2.62,2.78,2.84,1.47,,
December,3.37,3.65,3.18,2.59,2.17,2.21,3.48,3.54,2.97,3.65,,
Total,40.36,34.03,33.05,38.68,32.64,29.19,34.11,35.90,32.30,32.11,,
Calc annual,40.36,34.03,33.05,38.68,32.64,29.19,34.11,35.90,32.30,32.11,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
