"STAPLEFORD HOUSE",,,,,,,,,,,,
Grid ref,TL468517,Long,0.143905,Lat,52.144088,,,,,,,
Station no,1193,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.10,1.07,2.53,0.95,0.75,0.78,,
February,,,,,2.13,1.28,1.66,1.24,1.30,0.25,,
March,,,,,1.01,1.98,1.57,0.89,1.75,2.81,,
April,,,,,0.67,1.62,0.79,2.42,2.68,1.58,,
May,,,,,1.47,1.19,1.12,2.92,1.38,1.37,,
June,,,,,0.94,3.19,3.26,1.76,1.09,3.32,,
July,,,,,3.63,1.58,1.10,1.57,2.85,2.68,,
August,,,,,2.03,2.51,0.79,2.45,2.39,2.58,,
September,,,,,1.50,1.82,0.94,0.62,1.92,1.74,,
October,,,,,1.05,1.47,2.93,2.11,1.22,3.40,,
November,,,,,1.18,1.66,3.12,2.16,0.87,0.59,,
December,,,,,1.58,0.64,1.83,2.78,1.55,2.91,,
Total,,,,,18.29,20.01,21.64,21.87,19.75,24.01,,
Calc annual,0.00,0.00,0.00,0.00,18.29,20.01,21.64,21.87,19.75,24.01,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
