NORTHAMPTON-GOLD-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP754605,Long,-0.897265,Lat,52.237537,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.71,1.08,0.95,3.19,1.98,1.73,2.46,2.2,3.28,1.04,1.86,0.32,1.56,1.44,2.47,1.96,1.26,2.4,2.39,0.87,0.7,1.92,1.6,0.77,,1.36,2.6,,,,,,,,,,0.86,4.01,1.14,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.13,1.96,1.26,1.53,1.62,1.93,1.05,1.96,1.67,1.46,2.62,2.61,2.68,1.66,3.18,0.5,2.86,0.44,0.56,2.28,1.85,0.76,0.04,1.17,,1.85,0.13,,,,,,,,,,0.64,2.19,1.23,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.29,1.02,1.12,1.94,1.92,0.74,0.94,2.93,1.95,0.61,0.78,1.33,1.45,1.2,1.12,1.3,0.96,1.54,1.37,2.51,2.12,1.35,1,0.67,,1.03,2.33,,,,,,,,,,2.43,1.27,1.06,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.6,0.49,2.22,2.21,0.69,1.28,2.24,3.22,2.54,1.79,2.06,1.21,0.56,3.24,1.61,1.48,2.1,1.63,1.04,1.72,1.79,0.88,1.93,0.58,,1.14,1.26,,,,,,,,,,1.58,0.54,2.07,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.98,0.63,0.64,1.88,2.01,0.81,1.3,0.48,2.25,4.13,2.82,1.07,0.55,1.66,1.54,0.9,2.52,4.01,2.48,0.9,3.35,1.6,2.85,1.55,,1.34,0.38,,,,,,,,,,0.81,1.43,3.66,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.58,0.68,3.51,3.14,2.73,0.42,3.4,1.35,0.79,3.38,4.47,1.8,2.05,2.52,3.17,0.74,1.89,0.68,1.31,1.34,0.82,1.69,1.84,1.77,,1.74,0.68,,,,,,,,,,3.11,3.86,1.82,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.5,1.39,3.77,4.29,1.5,1.37,6.73,1.1,3.07,0.48,2.92,7.01,3.37,3.24,3.44,3.24,0.24,3.37,0.81,4.28,3.07,2.7,2.14,1.5,,2.88,2.36,,,,,,,,,,0.44,0.89,2.34,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.89,1.91,0.55,2.6,2.21,1.66,1.3,1.62,3.84,4.13,3.51,0.54,3.92,1.49,1.25,1.84,2.09,1.81,1.36,1.8,1.51,1.55,3.56,2.02,,2.26,2.24,,,,,,,,,,3.07,1.46,1.73,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.37,0.76,4.19,1.17,1.24,3.46,2.62,5.02,2.3,2.11,2.68,4.57,1.42,3.27,4.63,1.19,3.75,1.35,1.64,1.26,2.08,0.78,0.61,3.05,,1.16,0.66,,,,,,,,,,1.22,0.74,0.66,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,0.87,2.99,1.24,3.42,1.91,2.93,5.61,1.16,1.02,2.31,0.4,5.73,2.92,5.04,1.49,0.86,3.12,3.29,1.79,0.46,3.12,1.23,5.32,3.72,,2.42,2.43,,,,,,,,,,1.03,3.95,4,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,2.14,1.19,0.97,4.12,2.23,2.3,4.01,2.97,2.68,2.69,1.06,1.85,2.74,3.17,2.64,1.25,2.92,1.65,1.92,3.17,0.91,2.61,2.31,0.94,,2.92,3.9,,,,,,,,,,2.58,3.59,1.86,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,3.59,2.09,0.91,3.66,0.51,1.63,1.1,4.93,1.63,1.54,0.42,2.71,2.65,2.5,0.6,1.6,0.55,3.86,1.19,1.63,1.2,0.66,2.78,1.06,,1.52,1.4,,,,,,,,,,0.81,2.18,3.3,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,24.65,16.19,21.33,33.15,20.55,20.26,32.76,28.94,27.02,25.67,25.6,30.75,25.87,30.43,27.14,16.86,24.26,26.03,17.86,22.22,22.52,17.73,25.98,18.8,,21.62,20.37,,,,,,,,,,18.58,26.11,24.87,24.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 April - Gauge moved less than 200m NE to Mercer's Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
