BUTTERMERE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY174169,Long,-3.2773,Lat,54.541,Elevation,372,ft,,,,,,,,,,,,
Station no,RR1358,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,,,,,,,18.1,6.05,6.16,7.82,0.81,10.94,,,,,
February,,,,,,,,,,18.36,9.99,0.17,11.38,5.7,3.87,,,,,
March,,,,,,,,,,5.45,8.42,6.82,5.52,6.76,12.41,,,,,
April,,,,,,,,,,4.33,6.82,5.84,4.58,4.61,4.25,,,,,
May,,,,,,,,,,3.77,10.18,4.65,4.6,4.35,2.83,,,,,
June,,,,,,,,,,10.81,5.42,0.43,3.17,1.68,2.46,,,,,
July,,,,,,,,,,5.49,8.18,4,2.15,8.66,3.54,,,,,
August,,,,,,,,,,5.29,11.72,3.65,7.11,,3.5,,,,,
September,,,,,,,,,,7.78,5.28,9.24,7.09,9.61,5.3,,,,,
October,,,,,,,,,,8.15,8.75,6.01,5.63,8.48,11.68,,,,,
November,,,,,,,,,,6.86,6.41,7.41,11.98,5.28,12.72,,,,,
December,,,,,,,,,,9.2,0.48,10.31,3.21,10.95,14.6,,,,,
Total,,,,,,,,,,103.59,87.7,64.69,74.24,,88.1,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR as per record - ""gauge in garden opposite the Victoria hotel""",,,,,,,,,,,,,,,,,,,,
