CANTLEY,,,,,,,,,,
Grid ref,TG381053,Long,1.5139867,Lat,52.5933,Elevation,50,ft,,
Station no,RR8008,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.12,1.38,2.85,0.85,1.9,,
February,,,,2.01,1.02,0.86,0.35,1.91,,
March,,,,0.5,0.82,1.68,2.49,2.16,,
April,,,,0.08,2.11,0.76,1.28,1.77,,
May,,,,1.22,2.83,0.8,0.68,0.98,,
June,,,,1.56,2.51,0.6,2.07,2.28,,
July,,,,2.3,3.21,3.62,0.9,0.47,,
August,,,,2.4,2.33,2.69,1.69,1.51,,
September,,,,1.06,1.75,0.61,3.35,3.41,,
October,,,,1.43,2.51,3.53,2.97,,,
November,,,1.33,2.73,2.23,2.6,1.4,,,
December,,,1.06,1.98,2.84,1.44,2.91,,,
Total,,,,19.39,25.54,22.04,20.94,,,
