DURRISDEER SCHOOL DUMFRIES,,,,,,,,,,
Grid ref,NS881035,Long,-3.7646332,Lat,55.312815,Elevation  ,459,ft,,
Station no,RR6286,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,0.4,2.5,3.4,3.9,
February,,,,,,1.9,4.1,2.9,,
March,,,,,,2.8,2.5,3,,
April,,,,,,1.5,2.5,2.5,,
May,,,,,,1.6,2.3,2.1,3.8,
June,,,,,,2,4.9,2.1,2.8,
July,,,,,,3.5,,3.2,3.5,
August,,,,,3,4,,1.1,3.4,
September,,,,,2,0,,3.4,4.5,4.4
October,,,,,4,4,3.2,2.9,4.8,
November,,,,,2.8,3.3,2.6,3.2,1.6,
December,,,,,3.2,2.6,3.4,4.3,,
Total,,,,,,27.6,,34.1,,
,,,,,,,,,,
"1855 June 0""",,,,,,,,,,
1857 July,,,,,,,,,,
