CARGEN (DUMFRIES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX963724,Long,-3.624094,Lat,55.035265,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.93,2.29,3.54,7.46,3.78,4.12,9.64,4,4.5,7.08,5.29,3.92,10.02,8.7,5.7,8.42,2.39,10,4.76,1.92,0.82,0.61,2.63,7.54,8.41,3.68,4.83,3.63,2.9,2.62,6.29,3.38,3.34,1.8,6,2.27,2.11,1.24,3.99,7.06,4.37,3.52,2.84,6.24,4.02,2.33,4.84,2.02,5.02,5.71,3.49,2.54,4.8,6.19,3.91,3.53,6.68,1.93,5.93,4.01,7.23,8.31,5.67,2.92,5.31,4.44,7.19,5.43,11.83,1.92,6.95,,,,,,,,,,
February,,1.83,4.47,1.49,2.01,2.77,2.96,4.43,2.36,7.38,8.01,5.2,5.9,6.76,1.05,2.3,1.21,6.38,3.12,3.16,2.99,5.19,4.32,3.54,4.78,6.96,5.42,1.88,1.98,0.73,1.68,1,0.28,1.3,5.51,9.73,1.08,2.2,3.63,4.67,4.36,4.17,1.2,3.47,5.7,2.89,2.71,2.53,2.97,3.37,2.02,7.39,5.42,3.88,3.02,7.45,11.1,4.51,1.29,5.56,1.28,4.38,0.42,3.82,6.56,0.61,6.11,5.59,3.21,5.17,1.54,0.35,,,,,,,,,,
March,,3.67,5.06,3.41,1.08,3.88,1.49,3.34,2.34,8.14,0.86,1.29,3.47,3.96,3.59,2.74,1.6,4.76,2.11,1.44,2.84,1.91,5.57,4.74,2.14,4.19,2.26,5.13,1.33,2.61,3.12,2.59,2.52,1.03,1.76,2.01,3.22,4.65,5.91,1.04,4.84,0.2,2.4,2.46,10.15,3.48,4.83,2.49,4.33,5.31,5.59,4.58,0.85,5.64,5.77,5.58,1.9,1.76,3.1,1.93,4.83,6.11,6.82,3.15,1.96,1.51,1.14,2.49,4.08,5.96,1.07,3.22,,,,,,,,,,
April,,1.15,0.77,3.92,3.09,1.4,0.71,1.28,3.64,3.44,1.95,1.61,4.33,1.13,0.1,3.98,1.5,2.61,3.53,2.74,1.34,3.46,1.41,2.87,2.19,1.21,3.57,2.17,1.17,1.54,2.69,1.44,1.94,0.76,1.07,1.9,2.47,1.98,3.46,4.68,4.1,3.27,4.19,2.4,1.53,4.38,3.99,1.04,2.87,2.35,4.15,4.01,4.61,0.65,6.02,2.15,3.4,3.08,2.76,0.69,2.2,3.32,1.26,2.63,5.06,3.33,4.84,2.39,2.38,1.91,1.73,1.83,,,,,,,,,,
May,,2.02,0.74,4.43,2.4,1.42,6.66,1.36,1.97,3,1.97,4.68,1,3.54,2.22,1.17,1.84,0.6,3.69,5.03,1.57,0.9,3.7,1.37,1.97,3.62,2.06,4.21,1.13,2.91,3.33,3.18,2.51,4.62,2.46,4.29,0.06,0.68,2.6,3.08,4.11,3.71,2.27,2.46,3.81,2.48,2.17,7,5.44,3.93,2.18,2.92,4.16,2.1,4.88,2.29,1.59,4.5,4.58,2.55,1,5.62,3.32,2.68,2.33,4.68,6.21,2.71,2.65,2.1,3.82,1.81,,,,,,,,,,
June,,5.43,3.08,3.38,4.81,3.41,0.52,2.46,1.06,0.46,1.15,1.4,2.18,5.91,1.42,1.35,4.58,3.86,3.41,1.95,5.65,2.12,4.78,3.46,2.85,0.46,0.92,0.52,0.66,1.6,2.14,3.96,1.24,3.88,2.07,4.03,1.45,3.44,3.36,2.88,2.94,4.77,3.96,1.82,1.84,2.36,2,2.08,6.66,3.23,3.04,2.9,4.24,7.45,3.16,0.43,0.65,1.95,2.94,1.42,1.93,1.73,0.45,2.04,1.12,1.73,0.23,4.47,4.43,7.36,2.9,2.46,,,,,,,,,,
July,,2.46,4.11,4.13,0.56,2.29,2.75,3.54,3.02,0.56,1.96,1.16,4.83,4.31,5.46,1.84,2.45,2.06,4.65,0.43,4.14,3.51,2.32,6.37,2.49,5.67,2.68,3.38,4.28,4.82,3.76,3.23,1.68,2.49,2.96,2.61,5.99,5.27,1.6,0.56,1.99,3.28,1.75,2.5,5.01,3.83,1.38,2.45,1.71,4.26,4.36,5.09,1.66,4.68,0.63,2.81,3.94,5.18,2.48,3.94,1.36,4.87,6.27,4.74,4.38,4.93,2.04,4.09,6.28,3.97,5.56,3.6,,,,,,,,,,
August,1.81,4.9,6.09,4.84,2.88,1.44,4.98,3.54,2.54,5.49,0.94,2.14,3.02,3.27,6.49,7.07,2.3,4.16,7.13,2.89,4.2,0.5,5.88,2.54,4.53,1.32,3.49,2,2.14,3.08,4.46,3.08,8.41,7.33,4.48,3.38,6.62,1.86,5.66,6.77,2.71,6.3,4.73,2.98,5.02,3.84,3.84,8.74,4.63,4.85,2.21,9.11,3.47,6.06,1.65,3.96,2.7,4.03,5.94,6.05,3.45,4.02,7.4,3.15,10.35,4.67,6.53,4.95,7.15,6.87,6.24,8.95,,,,,,,,,,
September,3.32,1.26,4.37,2.47,5.3,6.21,1.18,6.44,3.96,2.76,8.2,4.06,2.6,5.62,3.76,6,5.47,4.01,2.68,4.24,5.63,3.24,2.38,2.18,4.03,3.39,7.3,5.65,4.53,1.08,1.8,3.03,4.81,4.34,2.64,0.2,0.22,5.5,3.4,3.33,4.07,3.3,3.97,2.61,3.8,2.78,1.87,1.08,0.73,4.99,2.6,1.06,1.95,2.25,3,2,1.18,2.48,3.84,7.29,3.6,2.62,2.25,2.9,6.52,5.8,2.94,4.62,7.66,2.84,0.76,3.64,,,,,,,,,,
October,3.81,6.59,3.74,7.96,3.73,4.92,5.96,3.5,3.71,5.24,2.46,8.56,4,5.12,6.08,10.72,5.22,4.93,6.86,3.88,1.73,0.75,2.33,4.57,3.78,1.82,4.44,4.77,1.64,3.02,5.51,1.5,9.02,4.4,4.3,4.45,3.61,4.19,2.88,4.48,3.26,5.79,5.6,3.8,10.4,2.28,2.8,5.54,8.59,2.19,11.3,2.53,3.79,4.52,3.87,1.44,4.03,8.14,7.05,6.38,1.51,3.29,3.35,2.38,7.38,3.89,6,3.76,4.9,9.25,6.43,8.01,,,,,,,,,,
