"CARGEN (DUMFRIES)",,,,,,,,,,,,
Grid ref,NX963724,Long,-3.624094,Lat,55.035265,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.37,3.52,2.84,6.24,4.02,2.33,4.84,2.02,5.02,5.71,,
February,4.17,1.20,3.47,5.70,2.89,2.71,2.53,2.97,3.37,2.02,,
March,0.20,2.40,2.46,10.15,3.48,4.83,2.49,4.33,5.31,5.59,,
April,3.27,4.19,2.40,1.53,4.38,3.99,1.04,2.87,2.35,4.15,,
May,3.71,2.27,2.46,3.81,2.48,2.17,7.00,5.44,3.93,2.18,,
June,4.77,3.96,1.82,1.84,2.36,2.00,2.08,6.66,3.23,3.04,,
July,3.28,1.75,2.50,5.01,3.83,1.38,2.45,1.71,4.26,4.36,,
August,6.30,4.73,2.98,5.02,3.84,3.84,8.74,4.63,4.85,2.21,,
September,3.30,3.97,2.61,3.80,2.78,1.87,1.08,0.73,4.99,2.60,,
October,5.79,5.60,3.80,10.40,2.28,2.80,5.54,8.59,2.19,11.30,,
November,4.83,3.47,4.21,3.62,3.10,4.75,3.46,3.81,2.97,2.03,,
December,8.92,5.38,5.66,3.74,3.47,2.02,4.17,5.53,4.19,7.46,,
Total,-999.00,42.44,37.21,60.86,38.91,34.69,45.42,49.29,46.66,52.65,,
Calc annual,52.91,42.44,37.21,60.86,38.91,34.69,45.42,49.29,46.66,52.65,,
Difference,-1051.91,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
