"WORKINGTON (COKE OVENS)",,,,,,,,,,,,
Grid ref,NX989280,Long,-3.567888,Lat,54.636955,,,,,,,
Station no,3658/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.27,1.98,3.36,2.96,2.80,5.28,4.38,1.44,4.29,,
February,,0.86,1.05,3.47,1.15,0.60,3.39,3.91,1.23,3.48,,
March,,2.15,0.46,2.77,1.49,1.27,3.21,0.61,2.49,1.27,,
April,,2.76,2.43,0.87,2.33,1.11,1.35,1.08,2.37,3.46,,
May,,2.28,1.84,3.66,2.22,2.36,2.80,2.28,0.89,1.49,,
June,,3.11,1.67,4.00,3.90,1.83,1.41,3.67,3.29,1.14,,
July,,1.31,4.59,3.95,3.18,5.54,3.23,2.58,2.89,4.58,,
August,,4.82,4.61,4.90,2.28,9.92,3.96,3.56,0.73,4.96,,
September,,3.34,5.32,6.38,2.11,3.94,4.61,3.19,1.90,3.52,,
October,,2.55,2.23,7.95,1.81,3.36,4.18,3.53,4.41,1.94,,
November,,1.84,6.16,8.19,1.71,1.25,2.06,2.22,6.73,6.64,,
December,,3.80,2.10,3.79,4.29,4.86,3.81,2.87,5.47,3.75,,
Total,,33.09,34.44,53.29,29.43,38.84,39.29,33.88,33.84,40.52,,
Calc annual,0.00,33.09,34.44,53.29,29.43,38.84,39.29,33.88,33.84,40.52,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
