DALRY (BRADSHAW) - new gauge,,,,,,,,,,
Grid ref,NS239539,Long,-4.807122,Lat,55.746353,Elevation,1060,ft,,
Station no,01/07/5249,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.2
February,,,,,,,,,,4.75
March,,,,,,,,,,2.7
April,,,,,,,,,,5.95
May,,,,,,,,,,3.3
June,,,,,,,,,,4.05
July,,,,,,,,,,7.25
August,,,,,,,,,,5.65
September,,,,,,,,,,4.55
October,,,,,,,,,,4.1
November,,,,,,,,,,7.5
December,,,,,,,,,,6.2
Total,,,,,,,,,,61.2
,,,,,,,,,,
New record started 20/Sept/1972 but 1960 records transferred to it - station renumbered at this stage to 5249/7/1,,,,,,,,,,
TYRain_1951-1960_26_pt1-page-250.csv just 1960 (1955 had -100s transcribed) - not used because of this,,,,,,,,,,
