DALRY (BRADSHAW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS239539,Long,-4.807122,Lat,55.746353,Elevation,1050,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5249/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.7,4.9,7.3,6.8,4.6,1.5,8,7.15,5.5,3.6,6.25,7.43,8.15,6.75,4.9,4.95,7.8,3.2,6.75,3.7,4.1,5.65,6.5,2.4,
February,,,,,,3.2,6,2.6,5.75,3.04,4.7,2.8,3.85,2.25,6.65,2.9,,4,4.85,4.3,2.85,2.3,2.75,5.8,4,2,4.1,5.65,1.95,
March,,,,,,4.4,3.1,3.4,3.8,6.3,3.55,4.95,1.3,1.5,3.4,2.6,,4.7,3.4,3.65,4,4.95,0.8,3.75,1.85,3.5,6.1,2.45,4,
April,,,,,,2.2,3.6,0.3,3.15,4.5,2.3,3.35,3.3,3.9,2.9,2.05,6.1,3,6.55,3.1,1.95,2.5,2.75,2.25,5.55,1.95,2.85,1.95,3.3,
May,,,,,,3.2,2.1,5,1.5,1.6,4.5,4.35,4.5,3.95,5.2,1.45,6.45,3,2.5,1.55,3.15,2.85,3.35,4,4.3,2.3,3.25,4.35,1.8,
June,,,,,,2.5,3.4,6.8,3.3,1.2,1.9,2.95,4.65,3.4,5,3.05,5.4,6.35,1.5,2,2.15,3.6,1.85,5.25,5.3,3.55,2.76,4.3,3.8,
July,,,,,,9.1,6.6,7.1,8.3,4.5,4.55,5.25,3.3,6.2,4.35,4.85,4.5,5.65,2.55,7,4.85,3.75,5.45,4.7,1.2,7.9,7.5,6.25,6.15,
August,,,,,,5,4,4.1,2.85,2.45,6.2,8.3,9.35,3.35,2.8,3.65,0,7.95,6.45,7.45,5.3,6.3,4.8,8.4,1.7,7.4,4.9,6.35,1.15,
September,,,,,,5.6,3.5,5.7,4.7,5.1,3.1,7.4,4.3,7.5,5.65,9.05,,8.35,3.25,10.75,5.6,3.55,7,7.3,5.4,6.35,3.45,4.8,2.15,
October,,,,,,4.7,3.8,11.3,4.15,7.7,6.4,7.25,9.5,7.9,9.75,0.35,3.35,9.25,7.9,4.85,1.35,6.8,5.45,11.2,3.8,3.25,7.45,4.8,6.95,
November,,,,,,4.4,1.1,9.2,9.25,8.35,4.55,0.7,2.1,6.5,0.65,9.65,8,4,7.65,4.15,8.2,3.95,7.35,8.5,4.15,2.4,2.8,2.75,5.3,
December,,,,,,5.6,4,4.8,4.17,7,3.25,6.15,2.95,5.7,6,4.5,,8.1,8.8,2,8.15,5.65,5.4,5.35,8.35,6.6,5.49,6.85,8.65,
Total,,,,,,54.6,46.1,67.6,57.72,56.34,46.5,61.45,56.25,57.65,55.95,50.35,,72.5,62.15,55.7,52.5,54,50.15,73.25,49.3,51.3,56.3,57,47.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb 1.0, Mar 5.5, Sept 5.75, Dec 3.5 and total all estimated and therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 75yds N Dec 1959 and subsequenbtly re-numbered. 1960 therefore crossed out on TYRain_1951-1960_26_pt1-page-249.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
