"HMS MERCURY",,,,,,,,,,,,
Grid ref,SU680190,Long,-1.033010,Lat,50.966416,,,,,,,
Station no,697/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.96,,,,,5.87,4.18,5.43,4.31,5.83,,
February,,,,,,0.35,5.85,2.97,0.19,4.56,,
March,,,,,,0.71,2.79,2.11,,2.49,,
April,,,,,,2.27,0.34,0.75,,1.67,,
May,,,,,,0.28,1.64,3.03,0.56,1.41,,
June,,,,,,3.28,1.81,4.27,,3.46,,
July,,,,,,3.40,6.27,1.97,,5.37,,
August,,,,,,4.43,3.09,5.35,3.85,4.00,,
September,,,,,,4.55,4.16,5.81,0.13,5.96,,
October,,,,,,2.34,3.12,4.28,,9.49,,
November,,,,,,0.86,4.38,3.10,,7.93,,
December,,,,,,7.12,3.37,4.03,9.67,5.94,,
Total,,,,,,35.46,41.00,43.10,,58.11,,
Calc annual,4.96,0.00,0.00,0.00,0.00,35.46,41.00,43.10,18.71,58.11,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,0.00,,
