LEYDENE-HMS-MERCURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU680190,Long,-1.03289,Lat,50.96655,Elevation,675,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,697/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.92,3.37,2.31,2.72,1.14,6.32,7.79,4.71,6.34,3.15,3.52,5.58,8.1,2.85,2.09,2.99,2.4,7.02,1.21,0.75,4.96,,,,,5.87,4.18,5.43,4.31,5.83
February,2.45,0.3,4.38,0.12,4.63,3.22,6.12,0.68,1.7,4.69,4.07,1.29,2.4,0.88,3.01,3.11,3.75,1.07,1.75,5.23,,,,,,0.35,5.85,2.97,0.19,4.56
March,0.83,1.69,3.76,3.76,0.95,3.01,4.61,0.53,1.63,4.06,3.77,3.4,0.69,0.28,1.23,2.26,6.12,0.94,1.68,2.28,,,,,,0.71,2.79,2.11,,2.49
April,3.48,3.76,1.22,2.71,4.44,2.75,3.78,0.06,2.57,1.63,2.22,2.83,1.05,2.1,1.25,2.56,3,1.92,1.92,3.17,,,,,,2.27,0.34,0.75,,1.67
May,2.98,4.47,2.49,1.49,1.31,0.42,2.89,2.1,1.53,0.88,3.72,4.21,3.82,0.84,2.88,4.07,1.17,2.5,3,1.33,,,,,,0.28,1.64,3.03,0.56,1.41
June,2.23,1.9,2.41,1.56,4.46,3.3,1.22,0.93,2.07,0.28,2.1,0.47,1.66,2.6,3.7,5.21,1.79,4.8,1.07,1.72,,,,,,3.28,1.81,4.27,,3.46
July,3.65,4.77,2.23,1.5,1.62,5.4,1.71,3.2,3.81,2.93,3.99,1.95,3.36,3.45,4.38,3.4,1.73,1.95,0.69,5.27,,,,,,3.4,6.27,1.97,,5.37
August,4.1,1.12,1.13,3.43,3.21,1.45,1.74,2.72,2.86,0.09,6.95,5.1,3.44,1.71,2.59,8.62,0.23,6.4,0.68,4.44,,,,,,4.43,3.09,5.35,3.85,4
September,2.38,4.15,2.46,3.47,5.47,3.4,2.42,2.32,1.6,1.73,0.41,3.1,3.24,2.51,2.46,5.3,1.64,3.76,2.76,5.25,,,,,,4.55,4.16,5.81,0.13,5.96
October,0.84,6.84,2.55,2.47,6.22,1.45,4.72,4.13,6.17,4.79,3.52,5.57,4.52,6.15,5.73,0.95,1.17,3.01,8.73,0.86,,,,,,2.34,3.12,4.28,,9.49
November,4.12,1.71,1.09,4.62,10.21,4.52,3.02,5.2,7.15,9.12,6.65,2.75,3.1,7.11,1.08,6.62,1.77,1.72,3.69,7.15,,,,,,0.86,4.38,3.1,,7.93
December,0.63,1.47,0.82,12.08,5.29,3.19,4.83,4.31,2.58,2.82,3.33,5.74,2.61,2.66,4.48,4.34,3.12,5.46,2.32,2.71,,,,,,7.12,3.37,4.03,9.67,5.94
Total,30.61,35.55,26.85,39.93,48.95,38.43,44.85,30.89,40.01,36.17,44.25,41.99,37.99,33.14,34.88,49.43,27.89,40.55,29.5,40.16,,,,,,35.46,41,43.1,,58.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1950 copied from file in 1958 so no info on location of gauge for this period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Feb Inspection recommended moving gauge. Assume NGR for post 1959 location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-58 only location info is distance to trees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as HMS-MERCURY SRC_ID 7523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
