SEAHAM VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ423504,Long,-1.342789,Lat,54.846629,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.82,1.71,4.22,2.05,1.96,1.47,0.96,2.41,1,1.76,2.45,0.61,3.06,1.87,1.11,0.56,1.3,0.77,1.59,3.42,1.61,3.4,1.9,1.12,1.3,1.85,1.55,1.79,1.2,1.29,4.69,0.89,1.72,1.15,2.44,2.61,1.72,1.1,2.31,1.47,1.1,,,,
February,,,,,,1.65,1.8,0.81,0.8,1.18,1.27,1.72,2.15,1.65,0.95,1.18,2.31,1.82,1.05,3.15,1.78,4.6,0.37,2.04,1.37,1.18,0.57,0.6,0.94,1.1,1.37,0,1.79,1.96,2.58,1.15,0.53,2.14,0.99,1.32,4.56,1.97,1.27,1.04,3.7,0.73,,,,
March,,,,,,1.45,2.84,2.25,1.3,1.74,1.22,0.64,2.94,1.93,1.34,0.61,2.62,2.62,1.24,0.8,1.7,3.23,1.19,2.17,2.76,2.25,2.28,1.99,4.62,3.12,1.57,2.73,1.1,0.68,0.7,2.23,1.89,2.82,1.53,2.02,1.91,2.21,0.38,1.17,1.39,1.46,,,,
April,,,,,,1.18,2.13,1.79,2.2,1.33,0.53,2.8,2.43,1.36,0.76,0.73,3.18,4.13,2.64,1.98,2.2,1.39,4.49,1.44,1.95,2.34,2.13,0.92,1.63,2.32,0.88,1.72,1.37,0.64,0.98,1.46,0.58,1.41,2.47,2,0.75,1.56,1.55,1.63,0.99,2.92,,,,
May,,,,,,4.14,1.03,2.52,1.48,3.14,1.41,1.45,2.03,2.65,2.88,0.93,1.04,2.71,3.1,1.79,1.42,1.66,3.34,1.79,1.18,3.27,2.56,1.79,0.68,2.27,2.88,1.68,1.89,1.48,2.25,1.05,0.97,1.25,1.93,3.93,1.29,2.15,2.29,2.85,2.63,0.98,,,,
June,,,,,,0.95,2.54,1.93,0.62,1.64,2.22,2.81,3.25,1.48,0.93,2.44,1.9,1.57,1.99,2.84,1.29,1.93,2.98,3.1,0.76,2.28,0.78,0.35,1.89,0.35,3.38,0.27,2.87,1.31,3.37,1.47,2.42,2.6,2.05,2.12,2.47,0.99,2.24,3.04,1.83,0.53,,,,
July,,,,,,1.9,3.98,3.29,0.75,0.81,0.42,4.35,4.39,2.75,1.59,4.08,3.01,3.04,0.73,4.17,4.07,4.14,3.32,4.26,3.39,1.22,5.57,1.29,7.63,3.59,1.58,4.44,1.58,3.06,2.7,4.84,2.18,1.11,0.63,2.83,2.23,2.05,2.53,1.25,2.05,1.46,,,,
August,,,,,,3.3,3.17,2.86,2.04,1.45,2.29,0.68,3.17,1.7,2.8,3.37,2.15,5.86,4.37,2.97,2.09,5.14,2.58,2.32,0.71,3.56,1.39,2.31,1.97,3.32,5.06,3.96,3.89,2.13,3,3.41,1.63,2.99,2,0.89,4.7,2.04,1.6,2.27,3.72,2.62,,,,
September,,,,,,0.47,4.15,1.6,4.28,3.39,0.84,4.58,5.35,1.33,2.09,1.94,3.57,2.08,1.52,1.14,3.61,4.19,1.32,4.58,1.18,1.82,1.7,4.24,1.56,1.26,1.54,1.77,1.62,1.41,0.93,0.35,2.81,2.04,0.52,2.63,0.58,0.91,0.83,3.11,0.88,1.85,,,,
October,,,,,,5.69,2.13,1.23,1.97,2.15,4.08,1.94,5.3,2.51,1.99,3.47,1.94,2.6,1.8,0.84,4.46,2.82,3.71,2.4,2.05,4.57,3.11,3.67,0.65,3.63,2.35,1.89,5.89,0.63,4.41,4.76,6.37,1.7,3.39,2.7,7.08,1.55,1.63,5.88,0.84,2.74,,,,
