REDEWATER (BATEINGHOPE),,,,,,,,,,,,,,,,,,,,
Grid ref,NT687037,Long,-2.4948504,Lat,55.326358,Elevation,1300,ft,,,,,,,,,,,,
Station no,"""3581/1/5""",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,6.35,6.99,2.5,3.9,4.6,6.83,3.44,,,,,,
February,,,,,,,,1.7,5.96,2.14,5,2.36,2.75,2.51,,,,,,
March,,,,,,,,2.37,3.85,4.3,2.48,2.23,2.04,0.44,,,,,,
April,,,,,,,,0.26,2.31,1.1,1.41,1.98,2.13,1.9,,,,,,
May,,,,,,,,2.94,1.45,0.89,2.56,3.16,5.56,3.08,,,,,,
June,,,,,,,,4.63,3.49,0.67,0.69,1.26,4.29,,,,,,,
July,,,,,,,,6.18,5.19,9.2,1.6,4.4,3.35,,,,,,,
August,,,,,,,,2.16,3.04,1.81,5.45,3.1,5.32,,,,,,,
September,,,,,,,,2.63,2.06,2.83,0.9,4.24,4.1,,,,,,,
October,,,,,,,,7.96,5.78,3.28,4.25,5.2,4.02,,,,,,,
November,,,,,,,,7.98,5.58,4.48,3.72,0.88,2.52,,,,,,,
December,,,,,,,,3.75,1.56,2.98,1.96,3.43,1.73,,,,,,,
Total,,,,,,,,48.91,47.26,36.18,33.92,36.84,44.64,,,,,,,
