REDEWATER (COOMSDON),,,,,,,,,,,,,,,,,,,,
Grid ref,NT704032,Long,-2.4680057,Lat,55.321971,Elevation,1350,ft,,,,,,,,,,,,
Station no,3581/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,7.2,6.51,2.5,3.5,4.83,6.19,4.18,,,,,,
February,,,,,,,,1.89,4.95,2.17,4.3,2.46,4.06,1.75,,,,,,
March,,,,,,,,1.88,3.58,5.25,3.18,2.25,2.6,0.46,,,,,,
April,,,,,,,,0.19,2.41,1.46,1.08,1.96,2.66,1.52,,,,,,
May,,,,,,,,2.28,1.1,1.09,1.95,,5.57,2.1,,,,,,
June,,,,,,,,3.58,3.03,0.5,0.76,0.76,4.07,4.81,,,,,,
July,,,,,,,,6.03,5.16,8.9,0.91,3.57,3.24,1.93,,,,,,
August,,,,,,,,2.72,2.3,1.83,4.96,3.27,4.55,2.63,,,,,,
September,,,,,,,,2.35,1.32,2.79,0.61,4.32,3.66,4.48,,,,,,
October,,,,,,,,7.71,5.28,3.01,3.48,4.81,3.9,,,,,,,
November,,,,,,,,5.87,5.83,3.23,3.83,0.57,2.74,,,,,,,
December,,,,,,,,3.97,1.33,3.47,1.6,3.96,2.4,,,,,,,
Total,,,,,,,,45.67,42.8,36.2,30.16,,45.64,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1942 May estimated from nearby stations therefore removed along with total,,,,,,,,,,,,,,,,,,,,
