YORK MUSEUM (Gardens),,,,,,,,,,,,,,,,,,
Grid ref,SE599521,Long,-1.089,Lat,53.962,Elevation,53,ft,,,,,,,,,,
Station no,3448,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898
January,0.65,1.49,2.58,3.07,1.57,,,,1.24,2.10,0.85,1.07,1.31,2.35,3.23,0.50,1.51,0.61
February,3.79,1.27,2.52,1.95,1.69,,,,1.03,0.76,0.08,1.64,2.37,3.09,0.32,0.67,1.86,1.04
March,2.32,1.79,1.14,1.84,1.51,,,,2.29,1.37,1.09,0.93,0.30,1.25,2.05,2.61,2.18,1.20
April,1.02,4.15,1.99,1.55,1.44,,,,1.57,0.65,2.18,1.48,0.54,1.64,1.45,0.85,1.66,2.55
May,1.18,1.49,1.41,1.09,2.45,,,,3.68,2.04,1.87,2.94,1.94,2.43,0.45,0.45,1.20,2.22
June,2.47,3.25,3.33,0.31,2.50,,,,0.40,2.27,0.71,4.69,1.23,3.62,3.12,2.72,2.45,1.87
July,2.08,3.74,4.53,4.46,0.95,,,,1.42,2.63,2.73,1.37,3.59,3.59,3.81,1.59,0.75,1.77
August,4.61,2.35,1.09,1.17,1.64,,,,4.49,3.95,4.41,2.67,2.82,2.80,2.08,2.25,4.01,3.22
September,2.89,1.20,4.31,1.02,1.73,,,,0.95,2.07,1.19,1.06,1.52,1.53,0.88,2.87,2.76,1.34
October,2.60,4.84,2.28,0.77,4.02,,,,4.14,1.13,3.33,4.80,2.04,3.36,3.51,2.80,1.76,3.04
November,1.99,2.71,1.99,1.00,2.15,,,,0.72,2.96,2.58,1.53,2.18,1.14,2.64,1.57,2.26,2.98
December,2.47,4.87,1.12,1.53,0.84,,,,1.47,0.74,2.74,0.57,2.67,1.28,2.29,3.10,2.07,1.89
Total,28.07,33.15,28.29,19.76,22.49,,,,23.40,22.67,23.76,24.75,22.51,28.08,25.83,21.98,24.47,23.73
,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_10_pt2/095,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_16_pt1/108,,,,,,,,,,,,,,,,,,
