"HELENSBURGH (BLAIRNAIRN) NO. 2",,,,,,,,,,,,
Grid ref,NS308888,Long,-4.719177,Lat,56.062034,,,,,,,
Station no,5326/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.55,14.00,3.18,8.15,-999.00,3.52,8.20,7.28,2.75,5.26,,
February,5.20,3.70,3.25,7.65,6.40,2.50,5.40,4.00,4.00,4.75,,
March,6.10,6.42,2.50,5.21,4.70,3.91,7.20,2.42,6.00,4.00,,
April,4.23,3.62,3.52,4.51,3.76,2.23,3.40,2.81,4.78,5.50,,
May,3.20,2.86,4.62,5.61,4.50,4.68,3.50,5.43,2.50,3.64,,
June,2.72,4.30,1.58,5.00,4.40,3.55,3.10,4.52,9.12,3.60,,
July,4.13,5.37,6.20,6.00,4.62,6.30,7.34,6.44,10.00,5.43,,
August,7.53,5.80,5.00,7.00,2.25,6.95,5.12,7.36,2.50,4.12,,
September,5.07,4.27,6.75,11.50,1.26,6.37,3.47,6.41,2.39,4.50,,
October,2.31,6.50,4.52,12.25,5.88,6.21,6.00,6.00,4.40,3.70,,
November,9.40,4.37,10.25,9.77,6.25,3.61,2.52,5.00,8.00,6.50,,
December,11.89,7.90,7.10,13.32,8.80,9.37,8.47,8.12,9.75,6.80,,
Total,69.33,69.11,58.47,95.97,57.22,59.20,63.72,65.79,66.19,57.80,,
Calc annual,69.33,69.11,58.47,95.97,52.82,59.20,63.72,65.79,66.19,57.80,,
Difference,-0.00,0.00,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,,
