HELENSBURGH ( BLAIRNAIRN ) NO 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS302882,Long,-4.728421,Lat,56.056436,Elevation,575,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5326/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,7.4,10.55,5.27,5.89,9.43,9.94,6.47,,2.57,,7.48,7.94,6.42,8.45,8.43,14.6,13.2,7.05,7.26,14.5,3.3,8.25,4.6,3.39,8.23,6.76,2.71,6.45
February,,,7.2,1.2,8.25,4.68,6.48,6.04,7.84,,7.53,,7.93,3.68,10.59,4.73,1,7.27,6.9,7.4,5.02,3.5,3.05,7.83,7.11,2.36,5.25,3.8,3.17,5.12
March,,,4.66,4.23,3.03,4.4,4.51,7.38,5.74,,3.62,,4.53,2.95,5.23,4.19,5.5,7.3,6.8,5.3,5.17,5.16,2.43,4.93,4.55,3.72,7,2.1,5.89,4.44
April,,,4.17,4.74,6.24,2.46,3.43,1.02,3.74,,2.62,3.24,4.74,4.23,2.75,2.63,12.2,4.3,7.4,5.3,3.54,3.44,3.84,4.17,3.51,2.1,3.25,2.4,4.46,6
May,,,4.96,5.74,1.08,2.78,2.01,5.74,1.93,,4.93,4.83,4.65,4.33,6.63,2.5,7.44,3.37,3.6,2.3,3.16,2.02,4.85,5.4,4.48,4.2,3.31,5,3,4
June,,,3.44,4.45,5.32,3.68,4.78,7.41,3.98,0.85,1.79,2.77,5.73,6.3,6.43,6.34,5.25,7.9,1.79,3.25,2.57,4.03,1.75,4.7,4.38,3.15,2.96,3.6,8.16,4.35
July,,,8.4,2.9,4,6.76,4.82,7.83,7.85,3.65,4.08,3.83,4.07,5.63,6.39,4.95,7.3,6.46,3.48,7.25,3.96,4.47,6.33,5.19,4.51,6.15,7.02,6,9.1,6.12
August,,,6.73,5.82,3.61,5.68,5.28,3.98,3.68,4.93,6.78,8.54,9.81,5.35,2.84,5.54,0,11.9,7.4,7.9,6.78,5.73,5.29,6.6,2.16,6.6,5,9,1.97,4.63
September,,,1.3,7.93,8.97,6.06,4.97,7.32,4.78,4.73,3.53,8.58,5.53,6.13,8.13,13.1,8.07,13,4.5,13.46,5.12,4.15,6.25,10.72,1.13,6.23,3.35,7.25,2.1,3.66
October,,,5.22,12.1,12.46,7.14,5.09,12.24,4.78,7.63,7.25,9.74,11.03,7.71,8.43,0.8,5.01,14.24,10,8.55,2.25,6.25,4.73,12.42,5.73,5.66,5.89,11.12,4.12,4.08
November,,,4.61,3.32,6.4,5.68,1.45,11.91,10.73,8.87,6.86,1.87,4.06,8.62,1,12.36,11.5,7.8,8.4,5,9.23,4.08,10.63,9.5,6.12,3.26,2.31,7.75,7.43,7.3
December,,,2.18,11.63,7.14,9.78,5.45,9.94,5.63,7.83,4.47,8.17,4.03,8.24,7.34,11.4,3,11.6,15.08,2.78,12.45,8.26,7.36,14,8.52,9.26,8.22,11.6,9.25,7.31
Total,,,60.27,74.61,71.77,64.99,57.7,90.75,67.15,,56.03,,73.59,71.11,72.18,76.99,74.7,109.74,88.55,75.54,66.51,65.59,59.81,93.71,56.8,56.08,61.79,76.38,61.36,63.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 01-05+T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 01-03+Total Deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
