"HELENSBURGH ( BLAIRNAIRN ) NO 1",,,,,,,,,,,,
Grid ref,NS302882,Long,-4.728421,Lat,56.056436,,,,,,,
Station no,5326/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.26,14.50,3.30,8.25,4.60,3.39,8.23,6.76,2.71,6.45,,
February,5.02,3.50,3.05,7.83,7.11,2.36,5.25,3.80,3.17,5.12,,
March,5.17,5.16,2.43,4.93,4.55,3.72,7.00,2.10,5.89,4.44,,
April,3.54,3.44,3.84,4.17,3.51,2.10,3.25,2.40,4.46,6.00,,
May,3.16,2.02,4.85,5.40,4.48,4.20,3.31,5.00,3.00,4.00,,
June,2.57,4.03,1.75,4.70,4.38,3.15,2.96,3.60,8.16,4.35,,
July,3.96,4.47,6.33,5.19,4.51,6.15,7.02,6.00,9.10,6.12,,
August,6.78,5.73,5.29,6.60,2.16,6.60,5.00,9.00,1.97,4.63,,
September,5.12,4.15,6.25,10.72,1.13,6.23,3.35,7.25,2.10,3.66,,
October,2.25,6.25,4.73,12.42,5.73,5.66,5.89,11.12,4.12,4.08,,
November,9.23,4.08,10.63,9.50,6.12,3.26,2.31,7.75,7.43,7.30,,
December,12.45,8.26,7.36,14.00,8.52,9.26,8.22,11.60,9.25,7.31,,
Total,66.51,65.59,59.81,93.71,56.80,56.08,61.79,76.38,61.36,63.46,,
Calc annual,66.51,65.59,59.81,93.71,56.80,56.08,61.79,76.38,61.36,63.46,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
