HELENSBURGH (BLAIRNAIRN) NO.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS308894,Long,-4.719557,Lat,56.067418,Elevation,1580,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5326/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.8,8.45,4.9,6.26,9.83,9.6,6.2,,,8,7.69,8.1,6.63,8.5,6.6,14.5,6,8,7.81,14.7,3.02,8.3,4.4,3.59,8.45,7.13,2.9,5.67
February,,,5.2,1.57,7.9,4.7,6.4,6.3,7.2,,,3,8.1,3.74,10.85,4.8,1,9,5.1,6.3,5.28,3.75,3,7.16,5.8,2.76,5.45,3.93,3.62,4.6
March,,,3.53,4.23,2.5,4.8,4.4,7.6,6.1,,,5,4.6,2.95,5.3,4,5.6,9.3,4.1,5,6.18,6.48,2.62,5.48,4.9,4,7.4,2.61,6.17,3.92
April,,,3.87,4.53,5.1,2.4,4,1.1,4.1,,,3.6,4.9,4.3,3,2.8,6,3.4,7,6,4.78,3.25,3.22,4.66,4.01,2.31,3.45,3,4.7,5.62
May,,,4.35,5.1,1.08,3.1,3.3,6.3,1.9,1.8,5.1,5,4.8,4.4,6.4,2,4.5,1.09,2.7,2.4,3.62,2.09,4,5.75,4.75,5.01,3.56,5.6,2.4,5.5
June,,,3.9,5.1,6.42,3.5,5.1,7.8,4,0.9,1.8,2.9,5.9,6.4,6.5,6,4.5,8,1.76,2.8,2.86,4.94,1.32,5.1,4.65,4,3.2,4.5,8.6,4.06
July,,,7.8,3.5,3.9,7.3,5.3,8.3,8,3.8,4.2,4,4.1,5.7,6.5,4.1,5.5,6,5,7.1,4.05,5.9,6.05,6.11,4.73,6.5,7.38,6.73,9.63,5.22
August,,,6.5,6.4,4.15,6.5,6.3,4.2,3.9,4.8,7.2,8.9,9.88,5.5,3,5,0,11,6.3,7.4,7.15,6,5.1,7.31,2.27,7.14,5.2,7.56,2,3.9
September,,,1.2,7.8,9.45,5.9,5.8,7.5,4.9,5.1,3.9,9,5.72,6.2,8.2,9.7,6,12.5,3.8,12.45,5.38,4.39,6.78,11.75,1.37,6.39,3.5,6,2.2,4.4
October,,,4.64,11.3,12.3,6.59,5.8,11.7,4.7,8,7.5,9.9,11,7.8,8.6,0.59,4.8,14,9.4,7.92,2.4,6.6,4.92,12.56,5.96,6.87,6.12,6.34,4.65,3.65
November,,,4.36,3,6.08,5.78,1.7,12.3,11.2,9.2,7.2,2,4.2,8.7,1.1,4.4,9.2,5.5,8,4.8,9.45,4.65,9.87,9.85,6.49,3.68,2.56,5.1,7.86,6.17
December,,,2.05,11.5,6.66,9.5,6.3,9.98,6.2,8.1,5,9,4.1,8.3,7.4,4.2,3,10,10.06,3.09,11.93,7.75,7,13,9,9.2,8.4,7.93,9.55,6.89
Total,,,53.2,72.48,70.44,66.33,64.23,92.68,68.4,,,70.3,74.99,72.09,73.48,56.09,56.7,104.29,69.22,73.26,70.89,70.5,56.9,97.03,58.33,61.45,64.67,66.43,64.28,59.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 01-04+T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
