HELENSBURGH (BLAIRNAIRN) NO. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS308888,Long,-4.719177,Lat,56.062034,Elevation,1250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5326/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,6.4,9.05,5.1,6.26,9.93,9.7,6.3,,,8,7.57,8.1,6.62,8.5,8,15,9.75,7,7.55,14,3.18,8.15,-999,3.52,8.2,7.28,2.75,5.26
February,,,5.33,1.28,8.1,4.6,6.4,6.3,7.3,,,3,8,3.74,10.8,4.9,1,8.03,4.4,7,5.2,3.7,3.25,7.65,6.4,2.5,5.4,4,4,4.75
March,,,3.73,3.52,2.9,4.6,4.3,7.6,6.1,,,5,4.6,2.85,5.3,4,6,8,3.5,4.4,6.1,6.42,2.5,5.21,4.7,3.91,7.2,2.42,6,4
April,,,3.77,4.32,4.9,2.4,4,1.1,4.1,,,3.6,4.8,4.3,2.8,2.7,12,5,6.3,6,4.23,3.62,3.52,4.51,3.76,2.23,3.4,2.81,4.78,5.5
May,,,4.43,5.2,0.98,2.9,3.1,6.1,1.9,1.8,5,4.9,4.8,4.4,6.4,2.1,8.25,2.08,3.8,2,3.2,2.86,4.62,5.61,4.5,4.68,3.5,5.43,2.5,3.64
June,,,3.9,4.9,6.22,3.5,5,7.8,4,0.9,1.8,2.9,5.9,6.4,6.5,6.2,6.38,7.5,1.5,3.1,2.72,4.3,1.58,5,4.4,3.55,3.1,4.52,9.12,3.6
July,,,7.3,3.3,3.6,7.2,5.2,8.2,8.1,3.8,4.2,4,4.1,5.7,6.5,4.4,7.7,5.25,4.08,7,4.13,5.37,6.2,6,4.62,6.3,7.34,6.44,10,5.43
August,,,6.2,6.3,4.05,6.4,6.1,4.2,3.8,4.8,7.1,8.8,9.88,5.5,3,5.6,0,12,5.8,7.6,7.53,5.8,5,7,2.25,6.95,5.12,7.36,2.5,4.12
September,,,1.1,8.4,9.55,5.9,5.7,7.6,4.9,5,3.9,9,5.72,6.2,8.2,11.38,7,14,4,12.78,5.07,4.27,6.75,11.5,1.26,6.37,3.47,6.41,2.39,4.5
October,,,4.34,11.2,12.3,6.59,5.7,11.2,4.7,8,7.4,9.9,11,7.8,8.6,1.2,5.05,15,9.3,8.16,2.31,6.5,4.52,12.25,5.88,6.21,6,6,4.4,3.7
November,,,4.56,3.1,6.28,5.78,1.6,12.3,11.1,9.2,7.1,2,4.2,8.7,1.1,9.6,9.9,6.9,7.46,4.4,9.4,4.37,10.25,9.77,6.25,3.61,2.52,5,8,6.5
December,,,2.05,11.7,6.76,9.4,6.1,9.98,6.1,8.2,4.9,8.9,4.1,8.3,7.4,8.1,2.8,8.9,11.05,3.1,11.89,7.9,7.1,13.32,8.8,9.37,8.47,8.12,9.75,6.8
Total,,,53.11,72.27,70.74,65.53,63.13,92.08,68.4,,,70,74.67,71.99,73.22,68.68,74.08,107.66,70.94,72.54,69.33,69.11,58.47,95.97,57.22,59.2,63.72,65.79,66.19,57.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 01-04+T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
