BLACKBURN PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD6967826496,Long,-2.461122,Lat,53.733966,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,0.43,0.5,3.95,5.4,5.27,2.24,5.88,3.56,1.59,2.3,4.44,2.83,3.39,1.41,3.14,2.81,1.97,1.27,4.32,6.4,,2.58,4.85,3.9,3.69,2.19,5.1,1.81,3.83,2.65,6.06,1.66,3.61,4.43,3.47,5.22,3.36,3.11,3.1,4.92
February,3.15,4.79,3.34,3.58,3.24,3.08,0.88,1.86,1.33,2.76,1.02,0.15,2.74,4.88,4.94,0.64,2.03,3.68,2.52,2.07,,2,1.74,3.87,4.44,2.48,3.98,2.26,3.74,2.02,4.25,4.57,1.73,1.84,2.93,5.11,3.78,1.19,5.26,0.97
March,2.42,3.82,4.47,1.3,2.82,3.13,2.59,2.41,3.38,3.23,3.4,1.32,1,1.2,3.08,3.53,5.37,3.6,1.91,3.45,,3.67,3.69,4.81,2.96,2.59,3.67,3.89,3.35,2.71,1.13,2.16,5.99,5.19,4.2,2.27,2.15,2.22,1.37,5.8
April,1.48,1.64,5.92,2.13,0.78,2.05,2.55,1.83,1.89,2.4,1.2,2.12,1.86,0.52,1.39,3.17,2.33,3.27,2.05,5.19,,2.22,2.62,2.6,3.08,3.58,1.86,2.06,2.09,4.06,3.82,3.43,0.92,4.99,1.36,2.64,3.83,2.52,1.53,2.5
May,2.94,4.48,2.5,0.93,1.72,1.9,4.79,2.16,0.76,2.73,2.31,2.48,4.94,2.16,2.5,0.48,0.67,2.42,3.64,2.92,,0.86,3.43,2.9,2.58,0.6,4.06,3.8,2.96,2.71,3.63,3.17,2.47,4.11,2.07,1.62,2.83,1.63,1.62,1.69
June,4.42,2.79,5.66,5.19,1.56,3.8,2.33,0.85,2.23,0.74,4.78,1.76,4.1,2.49,3.16,2.53,3.2,3.57,3.6,1.52,,1.9,1.39,1.54,1.76,2.71,1.77,7.92,2.09,2.89,3.17,4.47,5.71,2.95,2.91,2.13,3,2.53,2.61,2
July,5.38,4.93,6.1,3.19,4.53,2.25,4.72,1.81,7.88,3.08,3.4,3.54,2.01,3.75,3.74,5.97,2.43,2.31,1.11,2,,1.78,4.03,3.41,1.81,3.3,2.9,2.96,3.84,6.89,5.47,0.37,5.45,1.64,4.08,4.46,3.04,2.42,3.57,1.83
August,2.14,5.47,5.17,2.78,2.18,2.1,2.14,2.32,4.72,5.98,6.73,6.71,6.04,3.94,6.22,4.39,3.81,6.55,4.58,1.57,,2.46,3.14,5.82,4.21,3.53,4.22,4.78,4.4,3.25,6.91,3.33,7.32,2.32,2.47,5.03,3.24,6,4.77,3.92
September,4.28,1.82,2.34,6.07,3.75,4.82,4.47,5.48,2.34,3.9,3.21,2.67,4.54,6.35,1.3,1.51,7.36,4.58,1.76,7.71,,1.1,2.08,5.52,1.09,3.42,1.39,1.39,4.88,2.73,0.67,4.78,2.05,1.81,4.64,0.81,3.22,2.77,13.3,2.8
October,3.13,2.6,3.58,5.92,2.51,5.1,5.93,2.59,2.45,3.21,3.85,4.04,4.99,5.3,3.43,4.46,5.23,2.95,3.11,3.13,,3.89,5.3,9.15,2.85,4,6.61,3.3,1.44,5.83,3.86,3.25,4.5,2.07,2.3,0.77,7.44,9,4.52,2.8
November,5.46,5.1,6.54,4.23,1.65,3.12,3.52,1.98,6.03,2.72,7.6,4.35,2.61,3.79,4.08,3.44,1.77,4.06,2.86,2.52,,6.98,2.11,3.87,3.5,5.46,4.2,2.53,3.99,1.95,5.56,4.29,4.1,5.44,6.01,1.88,2.82,5.39,3.09,3.48
December,6.83,4.29,3.87,4.11,5.42,2.82,7.04,2.61,2.87,4.03,0.41,7.6,2.71,4.41,3.75,5.87,4.65,4.01,3.7,3.63,,4.39,4.38,3.03,2.91,0.87,4.79,4.43,2.62,6.72,4.06,7.34,4.43,3.7,5.6,6.39,3.06,3.24,8.59,7.3
Total,42.06,42.23,53.44,44.83,35.43,36.41,46.84,29.46,37.47,37.08,42.35,39.57,40.93,40.2,40.73,38.8,40.82,42.27,35.16,42.11,,33.83,38.76,50.42,34.88,34.73,44.55,41.13,39.23,44.41,48.59,42.82,48.28,40.49,42.04,38.33,41.77,42.02,53.33,40.01
