GLEN CANNICH (BENULA),,,,,,,,,,,,
Grid ref,NH111301,Long,-5.138939,Lat,57.322213,,,,,,,
Station no,5767/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.57,,,,,,,,,,,
February,4.35,,,,,,,,,,,
March,4.09,,,,,,,,,,,
April,6.64,,,,,,,,,,,
May,1.46,,,,,,,,,,,
June,2.87,,,,,,,,,,,
July,4.96,,,,,,,,,,,
August,5.70,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,39.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
