MULL (AUCHNACRAIG),,,,,,,,,,,,
Grid ref,NM728334,Long,-5.687156,Lat,56.437901,,,,,,,
Station no,5447/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.91,9.34,7.50,10.94,5.48,7.46,14.80,11.23,4.17,5.48,,
February,5.63,4.23,5.86,6.14,1.99,3.93,5.02,4.64,3.18,5.99,,
March,8.44,8.76,2.78,6.74,1.66,3.55,8.12,1.61,6.41,3.70,,
April,10.32,3.18,5.30,2.65,6.15,3.16,4.08,3.72,5.59,6.70,,
May,2.70,1.26,5.68,4.01,3.90,5.76,2.77,5.41,2.08,3.46,,
June,3.55,5.97,1.90,5.96,5.62,5.22,5.82,2.63,7.77,4.24,,
July,5.90,3.65,7.62,5.34,0.25,7.02,7.14,3.36,7.63,6.08,,
August,7.50,5.20,7.30,6.00,2.02,4.86,6.92,6.48,4.69,4.33,,
September,10.62,7.96,13.69,14.86,11.23,6.88,5.06,5.53,1.92,5.06,,
October,2.88,8.68,5.61,13.26,7.37,7.70,12.52,10.80,9.34,2.39,,
November,9.30,3.84,15.13,11.27,2.63,5.64,4.44,3.24,7.73,6.72,,
December,15.65,10.93,9.49,16.10,12.73,12.81,11.85,5.82,13.02,9.20,,
Total,94.40,73.00,87.86,103.27,61.03,73.99,88.54,64.47,73.53,63.35,,
Calc annual,94.40,73.00,87.86,103.27,61.03,73.99,88.54,64.47,73.53,63.35,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
