MULL (AUCHNACRAIG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 72184 32606,Long,-5.69643,Lat,56.430482,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5447/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,10.04,14.85,7.37,4.14,11.15,16.3,5.32,1.33,0.22,10.82,9.45,13.51,4.51,12.55,5.01,,,,,9.34,7.5,10.94,5.48,7.46,14.8,11.23,,5.48
February,,,6.48,3.27,11.91,5.38,7.63,11.78,12.13,5.01,6.43,3.76,10.01,4.31,12.87,5.62,0,,,,,4.23,5.86,6.14,1.99,3.93,5.02,4.64,,5.99
March,,,5.26,4.49,5.2,5.23,1.28,14.68,5.37,5.94,2.71,3.66,6.02,2.11,6.65,4.15,2.04,,,,,8.76,2.78,6.74,1.66,3.55,8.12,1.61,,3.7
April,,,6.43,4.33,5.34,2.6,3.58,1.24,2.77,3.83,2.31,1.55,7.66,5.52,3.83,3.59,9.47,,,,,3.18,5.3,2.65,6.15,3.16,4.08,3.72,,6.7
May,,,3.54,5.07,1.24,4.03,3.38,3.6,2.68,1.43,1.56,2.7,5.86,4.09,6.08,0.97,2.51,,,,,1.26,5.68,4.01,3.9,5.76,2.77,5.41,,3.46
June,,,4.56,3.66,5.83,3.59,4.53,8.61,3.45,1.18,2.15,4.1,7.8,5.42,5.97,4.61,7.14,,,,,5.97,1.9,5.96,5.62,5.22,5.82,2.63,,4.24
July,,,5.84,6.29,3.56,4.54,6.85,6.38,8.87,5.14,3.54,4.74,3.75,4.15,5.28,5.22,3.88,,,,,3.65,7.62,5.34,0.25,7.02,7.14,3.36,,6.08
August,,,7.43,10.27,6.86,4.44,4.55,4.8,2.07,5.09,6.75,13.71,13.2,3.12,2.38,5.32,0,,,,,5.2,7.3,6,2.02,4.86,6.92,6.48,,4.33
September,,,1.94,13.33,11.72,5.17,7.35,6.23,4.05,6.18,3.38,10.55,6.83,6.21,11.09,8.98,7.17,,,,,7.96,13.69,14.86,11.23,6.88,5.06,5.53,,5.06
October,,,8.28,16.36,18.02,10.3,4.58,17.74,1.9,11.74,8.49,11.32,17.11,9.09,5.82,0.2,4.26,,,,,8.68,5.61,13.26,7.37,7.7,12.52,10.8,,2.39
November,,,3.65,4.53,7.15,6.65,2.06,17.23,15.06,12.24,5.85,3.94,6.62,10.48,0.91,5.47,9.35,,,,,3.84,15.13,11.27,2.63,5.64,4.44,3.24,,6.72
December,,,6.11,9.37,3.95,14.53,5.67,8.75,7.47,10.23,7.31,13.93,5.19,9.31,5.49,12.76,1.3,,,,,10.93,9.49,16.1,12.73,12.81,11.85,5.82,,9.2
Total,,,69.56,95.82,88.15,70.6,62.61,117.34,71.14,69.34,50.7,84.78,99.5,77.32,70.88,69.44,52.13,,,,,73,87.86,103.27,61.03,73.99,88.54,64.47,,63.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 NP unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 NP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 NP ,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 NP Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Daily Values unreliable Monthly Totals excepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960 NP High, daily values unreliable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5447/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,715614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
