"STIRLING, CRAIGFORTH HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 77407 94837,Long,-3.973961,Lat,56.130458,Elevation,32,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,4.86,5.08,5.93,5.73,12.08,1.66,5.09,4.17,5.73,5.38,6.16,1.35,5.66,4.66,8.03,4.06,1.44,1.27,5.94,4.83,4.62,2.77,5.58,,,,
February,,,,,0.78,4.88,5.58,2.75,5.4,1.86,0.46,2.98,0.08,2.69,0.36,3.96,1.86,4.43,1.91,4.83,1.67,3.97,1.7,3.92,1.25,6.64,2.83,,,,
March,,,,,0.89,1.18,2.76,3.29,4.76,0.61,2.77,1.24,2.25,2.56,3.23,1.63,2.9,2.62,2.72,3.06,2.52,2.57,3.22,2.2,0.37,3.02,2.63,,,,
April,,,,,2.41,4,2.42,2.16,1.67,0.65,1.11,2.32,4.62,1.24,4.49,3.84,1.28,1.94,0.49,2.19,3.4,1.4,3.31,2.68,2.49,1.96,0.36,,,,
May,,,,,5.33,5.88,3.24,2.46,1.64,2.72,1.57,4.25,3.63,3.06,1.81,0.3,1.32,2.55,3.66,1.57,1.77,2.42,3.4,4.66,2.25,4.49,,,,,
June,,,,,2.25,0.4,3.14,4.24,4.28,2,2.39,5.72,1.15,0.77,2.3,4.62,1.05,1.88,4.5,2.01,0.95,0.93,1.65,2.68,3.36,4.4,,,,,
July,,,,,4.07,1.19,4.4,4.8,2.79,2.7,4.75,4.87,2.34,3.21,3.27,0.77,4.52,2.45,4.39,4.47,4.9,2.64,1.62,1.73,2.95,3.29,,,,,
August,,,,,2.67,4.77,2.91,7.18,4.92,4.95,6.89,2,0.84,1.78,2.96,2.05,2.46,3.39,2.21,1.51,1.14,3.28,4.5,5.53,2.8,2.06,,,,,
September,,,,,4.97,3.21,3.62,5.87,3.45,0.94,4.38,1.43,3.4,0.95,5,5.84,4.18,2.28,3.42,2.37,2.6,1.22,5.7,2.89,3.15,5.66,,,,,
October,,,,,3.39,4.2,5.77,6.46,6.47,4.52,5.27,2.66,6.04,3.45,6.24,8.39,4.1,3.91,7.86,3.31,4.99,4.59,3.21,7.55,3.97,5.5,,,,,
November,,,,,2.93,0.48,7.84,3.62,5.85,6.36,4.69,8.98,3.31,2.37,0.64,3.66,3.21,0.57,7.73,7.56,5.76,3.2,0.76,2.02,6.75,0.22,,,,,
December,,,,,7.73,3.38,1.25,1.42,3.12,7.94,5.72,3.35,8.35,0.65,5.86,2.78,6.2,2.65,3.75,2.05,4.43,3.88,5.86,1.63,3.74,4.33,,,,,
Total,,,,,42.28,38.65,48.86,49.98,56.43,36.91,45.09,43.97,41.74,28.11,42.32,39.19,38.74,33.33,50.67,38.99,35.57,31.37,40.87,42.32,37.7,44.34,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 1939 value fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,893236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
