ALLT TARABHAN,,,,,,,,,,
Grid ref,NN371396,Long,-4.649487,Lat,56.520138,Elevation,1200,ft,,
Station no,5557/1/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.4,5.1,8.35
February,,,,,,,,4.75,7.32,9.15
March,,,,,,,,3.52,8.55,2.96
April,,,,,,,,5.85,6.79,11.29
May,,,,,,,,7.7,3.92,4.9
June,,,,,,,,3.1,6.59,5.2
July,,,,,,,,4.6,7.85,5.14
August,,,,,,,,9.3,8.94,5.95
September,,,,,,,,7.9,2.51,5
October,,,,,,,,13.3,12.33,6.61
November,,,,,,,,1.75,12.42,12.44
December,,,,,,,,9.25,14.45,12.34
Total,,,,,,,,80.42,96.77,89.33
,,,,,,,,,,
Station no,5557/1/8,,,,,,,,,
Midas,15118,,,,,,,,,
Hyd Stn,862169,,,,,,,,,
