"ALLT TARABHAN",,,,,,,,,,,,
Grid ref,NN371396,Long,-4.649487,Lat,56.520138,,,,,,,
Station no,5557/1/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.40,5.10,8.35,,
February,,,,,,,,4.75,7.32,9.15,,
March,,,,,,,,3.52,8.55,2.96,,
April,,,,,,,,5.85,6.79,11.29,,
May,,,,,,,,7.70,3.92,4.90,,
June,,,,,,,,3.10,6.59,5.20,,
July,,,,,,,,4.60,7.85,5.14,,
August,,,,,,,,9.30,8.94,5.95,,
September,,,,,,,,7.90,2.51,5.00,,
October,,,,,,,,13.30,12.33,6.61,,
November,,,,,,,,1.75,12.42,12.44,,
December,,,,,,,,9.25,14.45,12.34,,
Total,,,,,,,,80.42,96.77,89.33,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.42,96.77,89.33,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
