CRAWLEY-THE-BEECHES (ORLETON LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ263359,Long,-0.1967,Lat,51.1091,Elevation,260,ft,,,,,,,,,,,,
Station no,587,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.84,2.5,2.99,0.95,5.39,6.21,3.59,5.39,2.72,2.9,,,,,,,,,
February,,0.67,3.28,0.22,4.48,2.19,5.18,1.21,1.57,2.66,3.8,,,,,,,,,
March,,1.69,3.59,3.21,0.46,1.87,3.94,0.51,1.29,3.69,3.34,,,,,,,,,
April,,2.85,1.1,2.67,3.45,2.09,3.38,0.04,2.47,1.43,1.73,,,,,,,,,
May,,3.5,1.69,0.81,1.39,0.3,2.16,2.32,2.49,1.41,2.44,,,,,,,,,
June,,1.54,1.55,1.11,3.32,2.91,1.45,0.71,1.55,0.65,2,,,,,,,,,
July,,2.66,1.9,2.03,1.01,3.95,1.12,2.13,2.44,2.98,2.22,,,,,,,,,
August,,0.38,1.15,2.11,4.04,0.46,1.28,1.28,2.54,0.12,4.33,,,,,,,,,
September,,2.14,2.44,2.15,3.63,2.13,2.39,2.18,1.18,1.27,0.48,,,,,,,,,
October,,6.64,2.2,2.4,4.93,2.32,3.3,3.7,6.68,4.07,0.99,,,,,,,,,
November,,1.54,1.26,3.97,6.51,5.36,2,4.32,5.68,8.96,3.91,,,,,,,,,
December,,0.72,0.66,8.33,4.68,3.25,4.2,4.06,2.14,1.94,2.66,,,,,,,,,
Total,,28.17,23.32,32,38.85,32.22,36.61,26.05,35.42,31.9,30.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge returns to The Beeches in 1942,,,,,,,,,,,,,,,,,,,,
