BOLTON W.W. CLOUGH 1,,,,,,,,,,,
Grid ref,SD687184,Long,-2.475126,Lat,53.661143,Elevation,1150,ft,,,
Station no,2885,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,6.95,6.21,14.64,,
February,,,,,,,6.35,3.05,6.59,,
March,,,,,,,3.05,6.96,4.27,,
April,,,,,,,2.36,4.62,1.73,,
May,,,,,,,4.32,2.03,1.26,,
June,,,,,,,3.62,6.32,8.29,,
July,,,,,,,4.56,5.95,3.59,,
August,,,,,,,5.45,8.57,9.48,,
September,,,,,,,5.84,8.22,1.58,,
October,,,,,,,4.62,6.04,8.03,,
November,,,,,,,9.31,6.74,9.66,,
December,,,,,,,2.88,1.65,4.38,,
Total,62.57,53.85,59.73,78.23,66.57,56.43,59.31,66.36,73.5,,
,,,,,,,,,,,
1920 total not originally transcribed,,,,,,,,,,,
1922 total not originally transcribed,,,,,,,,,,,
