DURNESS,,,,,,,,,,,,,,,,,,,,
Grid ref,NC404669,Long,-4.745211,Lat,58.560763,Elevation,100,ft,,,,,,,,,,,,
Station no,5803/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,6.67,4.96,5.98,4.38,,,,,,,,
February,,,,,,,,,9.52,2.06,2.21,3.4,,,,,,,,
March,,,,,,,,,6.75,6.46,2.47,3.04,,,,,,,,
April,,,,,,,,,3.2,3.29,4.46,1.59,,,,,,,,
May,,,,,,,,,3.49,3.84,2.43,,,,,,,,,
June,,,,,,,,,2.83,2.47,1.64,,,,,,,,,
July,,,,,,,,,3.27,3.3,3.09,,,,,,,,,
August,,,,,,,,,4.53,3.11,3.15,,,,,,,,,
September,,,,,,,,,5.21,6.77,6.72,,,,,,,,,
October,,,,,,,,,3.51,6.36,9.8,,,,,,,,,
November,,,,,,,,,8.19,7.68,5.14,,,,,,,,,
December,,,,,,,,,10.07,4.15,9.12,,,,,,,,,
Total,,,,,,,,,67.24,54.45,56.21,,,,,,,,,
