"DURNESS",,,,,,,,,,,,
Grid ref,NC404669,Long,-4.745211,Lat,58.560763,,,,,,,
Station no,5803/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.18,5.84,4.61,3.37,3.92,,,,,,,
February,2.96,3.53,3.47,3.70,2.99,,,,,,,
March,4.63,4.22,2.94,2.57,2.87,,,,,,,
April,4.95,1.22,3.77,2.80,1.49,,,,,,,
May,0.95,2.60,2.26,3.12,3.02,,,,,,,
June,2.05,4.23,2.60,3.90,1.52,,,,,,,
July,4.61,2.41,4.13,4.24,0.94,,,,,,,
August,3.29,5.97,3.72,3.08,1.19,,,,,,,
September,2.39,5.85,4.91,4.61,5.24,,,,,,,
October,3.66,4.72,1.97,9.73,5.95,,,,,,,
November,7.07,6.78,8.56,5.76,2.81,,,,,,,
December,7.83,4.89,4.68,9.89,6.00,,,,,,,
Total,49.57,52.26,47.62,56.77,37.94,,,,,,,
Calc annual,49.57,52.26,47.62,56.77,37.94,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
