"BALLAGAWNE RESERVOIR",,,,,,,,,,,,
Grid ref,SC237715,Long,-4.698349,Lat,54.109080,,,,,,,
Station no,44414/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.72,3.62,1.91,4.88,4.39,3.76,3.58,4.73,3.18,4.91,,
February,3.13,0.79,2.31,4.71,2.53,0.92,3.65,5.45,1.22,3.07,,
March,3.63,2.14,0.33,4.19,2.07,0.75,3.87,1.58,3.07,2.31,,
April,1.36,1.54,2.77,0.63,2.55,1.15,1.04,0.96,2.41,2.88,,
May,2.90,2.18,3.44,2.66,2.12,1.41,2.90,2.74,0.88,2.68,,
June,0.77,2.38,2.01,2.06,4.61,2.27,2.23,4.68,2.32,1.43,,
July,2.55,1.48,4.70,3.59,2.11,3.05,3.36,3.12,1.67,5.16,,
August,4.54,4.29,5.10,3.10,2.20,8.48,2.80,4.55,0.35,2.51,,
September,4.96,3.44,4.45,4.43,2.03,3.28,6.86,4.37,1.76,3.78,,
October,0.77,5.37,4.17,8.98,2.43,3.26,5.37,2.33,4.73,6.89,,
November,6.55,3.12,4.90,6.59,2.97,1.31,2.72,3.00,7.46,6.83,,
December,5.44,4.68,2.30,4.74,5.32,2.91,3.48,6.42,6.52,3.92,,
Total,40.32,35.03,38.39,50.56,35.33,32.55,41.86,43.93,35.57,46.37,,
Calc annual,40.32,35.03,38.39,50.56,35.33,32.55,41.86,43.93,35.57,46.37,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
