TOTTON-SHORNE-HILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU334151,Long,-1.52599,Lat,50.93442,Elevation,130,ft,,,,,,,,,,,,,
Station no,649,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.25,3.56,5.54,1.61,3.08,4.77,6.11,2.68,6.46,1.55,5.07,2.61,3.59,2.72,3.18,0.76,,,,,
February,0.82,0.47,3.44,6.14,0.38,4.52,2.49,4.36,2.82,1.27,1.14,2.43,0.15,4.72,0.07,4.6,,,,,
March,2.37,1.73,2.57,1.82,1.6,0.5,0.55,4.18,3.51,0.11,1.41,0.89,1.75,3.95,3.36,1.08,,,,,
April,3.04,0.96,3.51,3.51,3.74,2.52,3.64,2.19,2.29,1.12,2.71,2.99,3.32,1.37,2.13,3.91,,,,,
May,1.5,1.48,0.86,1.78,3.99,4.62,1.6,0.74,1.35,2.2,2.35,3.28,4.83,2,0.94,0.99,,,,,
June,2.32,0.21,1.61,0.46,2.75,0.03,3.05,2.62,2.73,1.36,0.98,3.24,1.79,2.29,1.46,5.12,,,,,
July,5.49,0.75,4.69,1.09,3.82,2.93,1.72,3.61,1.58,1.77,2.46,3.8,3.27,1.95,1.61,1.55,,,,,
August,1.47,1.94,3.94,2.48,2.99,3.54,1.06,4.41,2.69,1.93,4.33,6.01,1.34,1.44,4.27,2.97,,,,,
September,1.6,0.75,1.55,1.96,4.46,3.79,0.75,6.09,1.5,0.51,3.19,1.72,4.35,2.96,2.48,4.49,,,,,
October,3.25,0.93,1.31,5.82,4.79,4.35,3.08,2.51,6.65,4.3,2.39,0.64,6.16,1.78,1.99,6.95,,,,,
November,2.38,2.36,2.64,2.34,3.29,3.14,9.98,3.35,3.29,11.2,6.33,4.56,2.26,0.73,2.49,9.97,,,,,
December,3.18,1.89,4.94,3.36,6.74,3.96,0.42,4.28,3.15,9.14,4.23,0.86,1.64,0.82,10.74,4.86,,,,,
Total,31.67,17.03,36.6,32.37,41.63,38.67,34.45,41.02,38.02,36.46,36.59,33.03,34.45,26.73,34.72,47.25,,,,,
,,,,,,,,,,,,,,,,,,,,,
BR 1919 has no entry,,,,,,,,,,,,,,,,,,,,,
