SALISBURY-CASTLE-STREET-RIVERSIDE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU143303,Long,-1.7972752,Lat,51.071853,Elevation,150,ft,,,,,,,,,,,,
Station no,RR7108,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.09,1.46,3.14,1.58,3.76,5.05,0.47,3.05,,,,
February,,,,,,,,,1.04,0.3,3.23,1.3,2.64,0.99,4.58,5.42,,,,
March,,,,,,,,,3.1,3.39,1,2.28,4.44,2.7,4.03,1.13,,,,
April,,,,,,,,,1.73,1.34,2.51,1.43,0.05,3.27,0.98,0.97,,,,
May,,,,,,,,,1.99,0.94,1.53,1.09,0.97,1.88,1.4,3.26,,,,
June,,,,,,,,,0.42,3.57,4.31,1.44,5.45,0.02,0.57,0.93,,,,
July,,,,,,,,,1.18,2.78,1.83,0,1.49,0.88,3.02,4.15,,,,
August,,,,,,,,,1.83,2.78,1.25,0.63,6.38,1.4,3.23,1.45,,,,
September,,,,,,,,,2.41,3.26,0.15,1.14,2.15,2.95,1.06,1.75,,,,
October,,,,,,,,,1.36,4.49,3.23,2.41,3.69,4.48,2.22,3.75,,,,
November,,,,,,,,,0.93,0.67,1.39,3.06,2.06,3.43,5.7,2.13,,,,
December,,,,,,,,,2.15,3.11,5.18,7.82,4.32,1.64,7.4,6.3,,,,
Total,,,,,,,,,19.23,28.09,28.75,24.18,37.4,28.69,34.66,34.29,,,,
