"SALISBURY, CASTLE STREET, RIVERSIDE",,,,,,,,,,,,
Grid ref,SU143300,Long,-1.797287,Lat,51.069155,,,,,,,
Station no,RR7108,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.09,1.46,,
February,,,,,,,,,1.04,0.30,,
March,,,,,,,,,3.10,3.39,,
April,,,,,,,,,1.73,1.34,,
May,,,,,,,,,1.99,0.94,,
June,,,,,,,,,0.42,3.57,,
July,,,,,,,,,1.18,2.78,,
August,,,,,,,,,1.83,2.78,,
September,,,,,,,,,2.41,3.26,,
October,,,,,,,,,1.36,4.49,,
November,,,,,,,,,0.93,0.67,,
December,,,,,,,,,2.15,3.11,,
Total,,,,,,,,,19.23,28.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,28.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
