"GLOUCESTER WOTTON ASYLUM",,,,,,,,,,,,
Grid ref,SO844186,Long,-2.227960,Lat,51.865758,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.78,1.31,0.95,3.30,2.92,1.24,4.38,1.13,0.82,0.70,,
February,5.61,0.91,0.77,1.34,3.58,0.72,1.45,1.01,0.79,0.52,,
March,1.00,2.46,1.64,3.52,1.43,3.69,1.02,0.71,2.79,2.80,,
April,0.88,2.83,1.60,1.70,1.09,2.38,0.60,3.03,1.98,1.75,,
May,2.26,1.09,1.76,3.92,2.05,0.40,2.15,2.13,1.41,0.85,,
June,1.47,1.35,2.39,3.45,0.93,3.27,3.13,2.58,0.79,3.09,,
July,1.20,2.83,1.08,3.43,2.45,2.17,0.85,4.76,2.03,1.96,,
August,3.30,1.41,2.82,2.79,1.92,4.83,0.79,1.69,2.30,1.93,,
September,0.59,1.61,2.48,2.80,1.10,1.93,0.64,0.43,2.99,2.70,,
October,2.54,1.00,2.76,6.34,0.88,1.16,4.23,5.36,1.61,3.54,,
November,1.75,1.19,1.58,1.41,1.36,2.81,2.74,1.81,1.02,0.88,,
December,5.55,4.05,1.70,1.35,1.84,0.88,1.44,4.15,1.93,3.51,,
Total,28.93,22.04,21.53,35.35,21.55,25.48,23.42,28.79,20.46,24.23,,
Calc annual,28.93,22.04,21.53,35.35,21.55,25.48,23.42,28.79,20.46,24.23,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
