DUMBARTON (SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS407745,Long,-4.551875,Lat,55.93708,Elevation,11,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5324/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.98,0.97,5.74,6.32,5.07,3.4,6.52,6.5,9.05,5.11,3.79,4.99,5.41,1.91,5.52,3.06,2.8,6.95,,1.73,3.62
February,,,,,,,,,,1.79,4.31,2.13,4.94,1.36,7.8,3.16,1,5.07,5.07,5.08,2.86,1.65,1.76,5.25,2.89,1.3,4.32,,1.57,4.97
March,,,,,,,,,,4.43,2.82,3.23,3.41,0.92,3.27,2.61,4.57,3.88,1.97,2.58,2.84,3.23,1.46,3.65,2.14,2.05,4.46,,2.96,2.23
April,,,,,,,,,2.48,3.04,1.54,2.53,3.29,3.26,2.17,1.58,6.84,2.57,3.83,3,2.49,2.16,1.35,1.78,2.12,1.32,1.76,,3.27,4.24
May,,,,,,,,,1.68,1.35,3.42,2.97,3.63,2.48,4.27,1.75,4.82,1.87,2.24,1.21,1.96,1.71,2.32,4.41,4.35,1.98,2.69,,1.06,2.49
June,,,,,,,,,1.64,1.16,0.52,1.79,3.1,3.34,3.67,2.81,3.57,5.45,0.99,1.75,1.89,3.12,1.43,2.82,2.36,2.44,1.78,,3.29,2.28
July,,,,,,,,,5.02,3.18,2.76,2.88,2.22,3.65,4.61,3.02,4.33,3.3,1.97,5.97,3.24,2.33,5.08,2.44,2.03,5.13,4.65,,5.61,3.74
August,,,,,,,,,2.09,1.61,4.39,5.41,7.7,2.22,1.61,2.13,0,6.42,4.56,5.49,4.9,3.32,3.86,4.93,1.11,4.65,4.59,,0.56,3.63
September,,,,,,,,,2.45,3.63,1.28,5.55,3.36,6.1,4.95,7.15,5.03,6.33,1.7,8.4,3.42,2.93,3.6,6.4,3.9,6.52,2.86,,1.24,3.21
October,,,,,,,,,2.88,5.85,5.3,5.69,8.32,5.04,5.44,0.44,1.93,5.97,7.67,4.24,1.01,5.33,2.83,9.99,3.62,3.57,4.44,,4.56,2.76
November,,,,,,,,,7.72,6.86,4.18,1.01,2.69,7.49,0.5,6.82,6.51,3.81,4.53,3.56,6.91,2.08,6.8,7.98,2.39,2.06,1.96,,5.97,5.58
December,,,,,,,,,2.74,5.58,3.23,6.95,2.6,5.3,4.56,5.25,3.2,7.97,8.49,1.46,7.4,4.86,5.26,6.68,7.79,6.09,4.92,,7.84,5.09
Total,,,,,,,,,,40.46,34.72,45.88,51.58,46.23,46.25,43.24,48.3,61.69,48.13,46.53,43.91,38.13,37.66,61.85,37.76,39.91,45.38,,39.66,43.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Ja Nov partly estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb adj snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5324/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,661472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
