WISETON,,,,,,,,,,
Grid ref,SK711893,Long,-0.932227,Lat,53.395753,Elevation,21,ft,,
Station no,2638/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.83,4.35
February,,,,,,,,,0.13,2.06
March,,,,,,,,,0.94,1.43
April,,,,,,,,,2.08,0.7
May,,,,,,,,,0.48,0.91
June,,,,,,,,,1.11,1.01
July,,,,,,,,,1.07,2.63
August,,,,,,,,,0.46,3.4
September,,,,,,,,,0,2.3
October,,,,,,,,,1.88,4.41
November,,,,,,,,0.68,2.54,3
December,,,,,,,,2.67,2.77,2.4
Total,,,,,,,,,15.29,28.6
,,,,,,,,,,
,,,,,,,,,,
