CHELSHAM-THE-LEDGERS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ382589,Long,-0.01796,Lat,51.31288,Elevation,620,ft,,,,,,,,,,,,,
Station no,71,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.12,2.45,4.22,3.13,3.58,,2.65,1.19,4.21,2.39,2.94,3.31,2.94,0.94,5.95,,,,
February,,,2.84,4.81,0.37,4.86,2.75,,1,1.48,1.15,2.77,0.38,3.28,0.85,2.83,2.25,,,,
March,,,3.19,2.43,2.03,0.6,0.34,,2.55,0.12,2.57,1.11,1.9,4.24,3.35,0.39,1.7,,,,
April,,,4.08,2.86,4.36,4,5.18,,,1.13,2.41,4.65,3.16,0.5,4.29,0.5,2.4,,,,
May,,,1.48,3.04,4.35,1.6,1.19,,,2.49,3.14,2.35,4.5,2.57,0.89,3.82,0.45,,,,
June,,,2.01,0.69,2.67,0.25,4.12,,3.08,0.58,0.68,2.03,,1.67,0.46,3.17,3.2,,,,
July,,,4.67,3.26,5.93,3.57,2.41,,2.45,2.22,1.52,2.55,,2.25,2.21,1.17,4.35,,,,
August,,,2.86,2.83,1.9,1.03,4.1,,3.55,3.14,4.36,5.07,,0.71,2.15,3.92,0.66,,,,
September,,,2.3,2.05,3.05,4.27,1.59,,1.09,0.02,4.81,2.17,,3.34,2,4.16,2.33,,,,
October,,,1.74,5.99,3.91,4.71,2.86,,6.51,4.37,1.88,1.12,7.63,1.57,2.44,3.48,2.56,,,,
November,,,2.49,2.39,3.92,2.2,7.32,,,7.7,5.75,4.65,,,4.7,6.73,4.68,,,,
December,,,5.04,3.22,3.79,3.55,0.81,,3.39,7.61,2.4,1.03,,,7.71,5.53,4.06,,,,
Total,,,36.82,36.02,40.5,33.77,36.25,,,32.05,34.88,31.89,,,33.99,36.64,34.59,,,,
,,,,,,,,,,,,,,,,,,,,,
1927 Total not given as monthly totals not reliable - deleted,,,,,,,,,,,,,,,,,,,,,
1928 Apr May Nov Adjusted by map,,,,,,,,,,,,,,,,,,,,,
1936 Dec Station terminated Observer moved,,,,,,,,,,,,,,,,,,,,,
1932 June-Sept Nov-Dec Estimated,,,,,,,,,,,,,,,,,,,,,
1933 Nov Dec Estimated,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read in winter and summer at 9.30 am,,,,,,,,,,,,,,,,,,,,,
