EDENBRIDGE-TREVEREAUX,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ431509,Long,0.048560151,Lat,51.23934,Elevation,311,ft.,,,,,,,,,,,,
Station no,RR8765,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.09,4.55,-999,0.99,1.16,2.49,,,,,,,,,
February,,,,,,2.21,0.46,-999,1.82,3.09,1.02,,,,,,,,,
March,,,,,,2.6,0.83,-999,4.06,1.63,2.77,,,,,,,,,
April,,,,,,1.81,2.2,-999,-999,3.16,3.15,,,,,,,,,
May,,,,,0.66,3.52,4.02,1.67,-999,2.47,1.65,,,,,,,,,
June,,,,,1.83,0.94,1.11,0.77,4.97,0.84,1.91,,,,,,,,,
July,,,,,1.36,0.19,2.74,0.88,5.29,2.69,4.8,,,,,,,,,
August,,,,,1,1.49,1.67,2.24,2.16,2.32,3.24,,,,,,,,,
September,,,,,3.92,4.85,2.41,2.56,1,1.1,0.87,,,,,,,,,
October,,,,,1.78,4.08,2.2,1.8,1.57,5,1.25,,,,,,,,,
November,,,,,0.88,2.94,3.21,4.49,4.4,0.9,2.24,,,,,,,,,
December,,,,,3.72,1.23,2.79,1.81,1.47,1.88,0.78,,,,,,,,,
Total,,,,,,27.95,28.19,23.11,30.45,26.24,26.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Trevereaux. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Nearly 10km to nearest location for some years,,,,,,,,,,,,,,,,,,,,
