BERKHAMPSTEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP990076,Long,-0.5665,Lat,51.7588,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.45,2.11,0.98,3.97,5.68,3.02,1.88,0.85,3.2,4.46,1.1,1.66,3.6,0.84,2.81,4.4,1.3,3.85,4.32,3.73,4.05,3.95,1.6,1.8,5.07,4.44,2.16,3.29,1.79,5.21,1.62,3.38,0.42,1.77,1.57,3.25,2.59,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,3.7,1.8,1.82,0.85,0.95,1.78,0.93,1.5,1.5,0.34,1.62,2.4,1.5,2.53,0.56,0.8,1.04,2.55,3.71,1.82,1.83,2.59,2.82,1.55,1.7,1.76,2.19,1.18,3.06,2.03,1.84,3.7,3.25,3.5,1.96,4.7,1.36,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,4.04,0.98,0.5,4.82,0.43,1.62,0.65,2.55,1.13,1.8,1.34,1.79,2.12,2.64,4.44,0.95,3.11,1.39,1.99,2.71,1.98,1.76,2,1.61,2.42,2.47,0.82,0.75,3.04,2.39,1.12,1.09,1.16,2.36,1.47,1.14,2.02,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.25,3,2.97,1.7,0.55,2.71,0.31,0.4,3.22,2.29,2.89,2.79,1.12,0.9,2.86,1.16,1.46,0.49,1.8,2.85,2.36,1.94,0.47,2.89,1.92,0.85,2.28,1.47,3.2,2.96,3.6,2.63,1.81,0.92,4.2,1.3,1.42,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.34,2.6,2.64,0.7,1.3,2.12,3.67,2.72,4.23,0.77,2.85,1.94,4.68,0.88,3.33,1.07,2.47,1.83,1.76,2.88,0.82,2.86,1.17,1.12,3.25,2.46,1.83,2.46,0.91,2.88,4.6,3.37,0.65,1.77,1.78,2.08,0.57,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.05,0.6,1.2,2.04,4.33,4.03,1.28,2.2,1.7,2.42,0.68,2.91,6.04,2.07,2.55,4.87,1.62,2.49,4.32,1.31,0.71,1.33,0.88,3.45,3.62,2.06,1.22,3.73,1.4,1.2,2.38,5.18,2.84,2.13,3.46,2.07,2.24,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.21,2.22,3.72,3.08,3.92,3.79,2.34,6.4,1.8,1.75,2.93,3.02,1.5,4.13,1.86,0.95,0.29,3.01,1.85,4.66,0.56,0.53,1.66,3.32,3.18,2.84,0.93,5.14,1.74,3.35,1.39,3.96,6.29,2.2,2.64,2.86,2.92,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.12,1.42,1.8,2.28,3.91,2.9,2.5,2.13,3.19,3.84,1.35,3.03,4.54,1.02,2.54,2.6,0.68,3.69,3.46,2.02,5.02,1.68,3.01,0.84,2.29,2.06,1.69,1.56,2.13,3.03,7.12,6.32,0.63,5.57,1.58,0.9,1.5,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.3,3.84,1.3,0.65,3.43,1.9,0.74,1.66,2.85,3.35,2.54,3.84,3.39,2.28,1.93,3.16,2.73,0.51,5.12,1.89,4.5,4.56,2.21,5.28,1.37,2.96,4.02,2.62,5.22,1.02,1.33,3.19,6.13,2.54,2.42,4.17,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,4.45,2.33,1.66,2.31,3.53,4.24,2.18,5.8,2.91,5.56,1.93,3.45,1.94,1.14,3.41,3.17,1.63,6.55,1.31,2.17,3.02,1.33,4.58,1.14,4.75,2.95,3.16,6.54,1.22,1.96,2.62,0.84,6.34,2.75,6.88,2.38,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
