"BELFAST, OUTFALL WORKS",,,,,,,,,,,,
Grid ref,IJ3174967928,Long,-5.964739,Lat,54.542684,,,,,,,
Station no,6214,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.84,4.25,1.88,2.84,1.88,,
February,,,,,,2.44,2.32,1.68,2.29,2.56,,
March,,,,,,3.82,2.78,4.51,3.76,3.46,,
April,,,,,2.15,3.25,2.00,2.28,3.76,3.40,,
May,,,,,1.75,2.35,5.10,3.97,1.81,1.31,,
June,,,,,1.60,3.48,1.50,4.90,3.20,1.95,,
July,,,,,2.71,1.53,1.75,1.75,2.68,3.26,,
August,,,,,4.02,7.33,3.96,3.50,2.67,1.98,,
September,,,,,2.73,1.76,1.09,1.07,4.38,1.79,,
October,,,,,0.85,1.58,4.59,4.18,2.16,5.07,,
November,,,,,,4.52,2.92,3.08,2.62,0.65,,
December,,,,,3.13,2.41,3.49,3.34,3.29,3.52,,
Total,,,,,,36.31,35.75,36.14,35.46,30.83,,
Calc annual,0.00,0.00,0.00,0.00,18.94,36.31,35.75,36.14,35.46,30.83,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
