ST-MARY-BOURNE-SPRING-HILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU421506,Long,-1.39793,Lat,51.25318,Elevation,300,ft,,,,,,,,,,,,,
Station no,666,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.54,1.71,3.36,2.87,4.36,2.63,4.5,1.29,3.46,1.84,2.51,2.24,2.25,0.78,5.05,5.69,2.97,5.27,
February,,,2.58,4.29,0.41,4.06,1.78,3.7,1.93,0.68,0.48,1.93,0.17,4.15,0.09,4.07,2.56,5.53,0.66,1.38,
March,,,2.48,2.14,1.34,0.51,0.78,3.32,2.77,0.1,1.02,0.41,2.08,3.21,3.11,0.65,2.61,3.68,0.24,1.11,
April,,,,3.38,3.19,2.48,3.38,2.18,1.51,0.91,2.26,3.24,2.88,1.82,2.16,4.29,2.13,2.45,0.06,2.84,
May,,,0.75,1.64,4.46,4.22,1.96,0.82,1.63,1.39,1.57,2.81,7.31,1.55,0.93,1.11,0.88,3.35,1.2,1.27,
June,,,1.12,0.36,2.64,0,2.34,2.78,2.15,1.46,0.78,2.34,1.84,4.2,1.09,4.78,2.43,1.66,0.67,2.1,
July,,,4.84,0.89,4.71,4.01,2.28,3.35,1.66,1.24,2.05,3.93,2.88,2.43,1.44,1.68,5.01,1.42,2.04,5.69,
August,,,,2.94,2.94,1.98,0.96,3.9,2.07,0.81,2.69,3.39,0.84,0.39,2.64,2.26,0.55,1.29,3.86,2.04,
September,,1.18,,1.76,4.59,3.32,1.09,6.18,1.74,0.53,3.1,2.15,4.26,2.61,1.98,4.19,2.74,1.76,1.16,1.67,
October,,0.75,,6.44,4.51,3.37,2.69,2.32,5.54,3.15,1.82,0.54,4.36,2.1,1.23,4.06,2.42,4.2,3.7,4.73,
November,,2.3,,2.13,3.01,1.86,6.83,3.4,2.54,7.84,4.36,3.2,1.69,0.97,1.9,6.23,3.49,1.79,5.11,5.6,
December,,1.46,,3.83,4.88,3.45,0.47,4.71,2.77,6.68,3.54,0.63,1.25,0.43,9.29,3.65,3.22,3.54,3.96,1.56,
Total,,,,31.51,40.04,32.13,28.92,39.29,30.81,26.08,27.13,26.41,32.07,26.1,28.11,37.75,33.09,36.36,25.63,35.26,
,,,,,,,,,,,,,,,,,,,,,
1930 Daily values have been destroyed by accident,,,,,,,,,,,,,,,,,,,,,
1931 Oct 20 Gauge moved 20yds W,,,,,,,,,,,,,,,,,,,,,
